O*NET-SOC Code,Title,AI_Benefit_Classification,cognitive_skills,operations_skills,social_skills,technical_composition,technical_skills,management_skills
13-2082.00,Tax Preparers,Moderate AI Benefit,2.872857142857143,1.315,2.77,0.1521921921921921,1.81,2.125
29-2011.00,Medical and Clinical Laboratory Technologists,Moderate AI Benefit,3.0885714285714285,3.065,2.9166666666666665,0.1517045085135125,2.5,2.6266666666666665
25-1031.00,"Architecture Teachers, Postsecondary",High AI Benefit,3.75,1.595,3.351666666666667,0.1516288589459321,2.2225,2.7083333333333335
41-3021.00,Insurance Sales Agents,High AI Benefit,2.877142857142857,1.405,3.1649999999999996,0.1514251107157727,1.905,2.2283333333333335
11-3021.00,Computer and Information Systems Managers,Moderate AI Benefit,3.6257142857142854,2.5325,3.248333333333333,0.1514225252762755,2.53,3.331666666666667
19-4092.00,Forensic Science Technicians,Moderate AI Benefit,3.16,2.4675,2.875,0.1513378401408851,2.22,2.4166666666666665
15-1299.09,Information Technology Project Managers,High AI Benefit,3.357142857142857,1.8425,3.375,0.1513359277660703,2.3425,3.561666666666667
15-1299.03,Document Management Specialists,High AI Benefit,3.2300000000000004,1.4375,2.938333333333333,0.1512010427658121,2.03,2.7900000000000005
13-2072.00,Loan Officers,High AI Benefit,3.0542857142857143,1.4075,2.9616666666666664,0.1511787764504802,1.9375,2.455
13-1081.02,Logistics Analysts,High AI Benefit,3.3200000000000003,1.7175,2.9399999999999995,0.1510854341736695,2.1575,3.145
29-2056.00,Veterinary Technologists and Technicians,Moderate AI Benefit,3.0700000000000003,2.595,2.956666666666667,0.1505935924540575,2.315,2.563333333333333
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,Low AI Benefit,3.197142857142857,3.4375,2.7083333333333335,0.1504824485561127,2.59,2.6233333333333335
23-2011.00,Paralegals and Legal Assistants,Moderate AI Benefit,2.7142857142857144,1.1875,2.7716666666666665,0.1504777070063694,1.6875,1.8533333333333335
29-1211.00,Anesthesiologists,Moderate AI Benefit,3.7471428571428578,2.8100000000000005,3.186666666666667,0.1504125424676069,2.435,2.9150000000000005
19-5011.00,Occupational Health and Safety Specialists,Moderate AI Benefit,3.4642857142857144,2.53,3.1666666666666665,0.1503625234341472,2.3775,2.8333333333333335
17-3027.01,Automotive Engineering Technicians,Minimal AI Benefit,2.9457142857142857,3.095,2.606666666666666,0.1503441665940576,2.465,2.438333333333333
43-4131.00,Loan Interviewers and Clerks,High AI Benefit,3.09,1.5325,3.043333333333333,0.1503399158303658,1.935,2.27
13-2041.00,Credit Analysts,High AI Benefit,3.0714285714285716,1.405,2.5833333333333335,0.1502472127968977,1.845,2.375
19-4051.02,Nuclear Monitoring Technicians,Moderate AI Benefit,3.09,3.0925,2.9599999999999995,0.1501523982674723,2.34,2.5416666666666665
29-1229.03,Urologists,High AI Benefit,3.518571428571428,2.4075,3.2733333333333334,0.1501419240629959,2.3425,2.9350000000000005
15-1241.01,Telecommunications Engineering Specialists,Moderate AI Benefit,3.0700000000000003,2.78,2.936666666666667,0.149946881165579,2.47,2.7483333333333335
29-1141.02,Advanced Practice Psychiatric Nurses,High AI Benefit,3.5728571428571425,1.345,3.790000000000001,0.149608449459861,2.2175,2.8966666666666665
13-1199.05,Sustainability Specialists,High AI Benefit,3.3200000000000003,1.81,3.061666666666667,0.1492696829355183,2.095,2.688333333333333
13-1031.00,"Claims Adjusters, Examiners, and Investigators",High AI Benefit,3.1257142857142854,1.81,3.0416666666666665,0.1491938655131734,2.0325,2.5833333333333335
29-1161.00,Nurse Midwives,High AI Benefit,3.6257142857142854,1.9375,3.438333333333333,0.1491938390561549,2.2175,2.581666666666667
25-1071.00,"Health Specialties Teachers, Postsecondary",High AI Benefit,3.661428571428571,1.78,3.2483333333333335,0.1491827707737067,2.2525,2.6916666666666664
29-1141.00,Registered Nurses,Moderate AI Benefit,3.4114285714285715,2.5024999999999995,3.5,0.1491726693208754,2.315,2.5400000000000005
41-3041.00,Travel Agents,High AI Benefit,2.8385714285714285,1.405,3.391666666666667,0.1489915661642319,1.9075,2.23
43-6011.00,Executive Secretaries and Executive Administrative Assistants,Moderate AI Benefit,2.8385714285714285,1.53,3.19,0.1487893064533801,1.94,2.48
13-1111.00,Management Analysts,High AI Benefit,3.607142857142857,1.5325,3.48,0.148664269713083,2.22,3.063333333333333
25-9021.00,Farm and Home Management Educators,High AI Benefit,3.537142857142857,1.94,3.625,0.1484229346862679,2.3125,3.1033333333333335
13-2052.00,Personal Financial Advisors,High AI Benefit,3.265714285714286,1.3425,3.27,0.1483750271916467,2.03,2.7733333333333334
19-4099.01,Quality Control Analysts,Low AI Benefit,3.0357142857142856,3.25,2.625,0.1481412725669466,2.28,2.355
13-2053.00,Insurance Underwriters,High AI Benefit,3.0171428571428573,1.25,2.8966666666666665,0.147969218430751,1.845,2.4599999999999995
19-4012.00,Agricultural Technicians,Low AI Benefit,2.802857142857143,2.4675,2.75,0.1478848763695343,2.1275,2.4583333333333335
29-1022.00,Oral and Maxillofacial Surgeons,Moderate AI Benefit,3.714285714285715,2.5649999999999995,3.145,0.1477337545522355,2.405,2.73
29-1151.00,Nurse Anesthetists,Moderate AI Benefit,3.731428571428572,2.8774999999999995,3.418333333333333,0.1475500770416024,2.565,2.7916666666666665
11-9199.01,Regulatory Affairs Managers,High AI Benefit,3.4642857142857144,1.2825,3.1466666666666665,0.1475163070747616,2.065,3.0400000000000005
15-1212.00,Information Security Analysts,Moderate AI Benefit,3.2885714285714287,2.4675,2.7916666666666665,0.147495031237875,2.2175,2.6466666666666665
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",High AI Benefit,3.5542857142857143,1.22,3.226666666666667,0.1474772603591697,2.0325,2.748333333333333
29-1141.03,Critical Care Nurses,Moderate AI Benefit,3.6257142857142854,2.6875,3.561666666666667,0.1474277108878439,2.3775,2.686666666666667
29-1141.01,Acute Care Nurses,Moderate AI Benefit,3.552857142857143,2.565,3.5216666666666665,0.1472465633488734,2.3425,2.706666666666667
29-1021.00,"Dentists, General",Low AI Benefit,3.66,2.595,3.605,0.1472142753236677,2.53,3.168333333333333
19-3034.00,School Psychologists,High AI Benefit,3.5,1.2825,3.5833333333333335,0.1471992265393679,2.03,2.395
29-1224.00,Radiologists,Moderate AI Benefit,3.5700000000000003,2.78,3.313333333333333,0.1471756512767603,2.3775,2.7083333333333335
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",High AI Benefit,3.1785714285714284,1.25,3.3349999999999995,0.1471714750213551,1.9075,2.2900000000000005
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",High AI Benefit,3.4642857142857144,1.47,3.456666666666667,0.1470421122994652,2.095,2.6666666666666665
25-4013.00,Museum Technicians and Conservators,Low AI Benefit,2.8385714285714285,2.095,2.7716666666666665,0.146862121952923,2.0025,2.395
45-2011.00,Agricultural Inspectors,Moderate AI Benefit,3.0885714285714285,2.9675,2.918333333333333,0.1468209874039888,2.155,2.518333333333334
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",High AI Benefit,3.1257142857142854,1.595,3.3733333333333335,0.1464033707294786,2.06,2.9166666666666665
29-1229.06,Sports Medicine Physicians,Moderate AI Benefit,3.6957142857142857,2.5,3.5833333333333335,0.1463988564307444,2.3775,2.9583333333333335
29-9099.01,Midwives,High AI Benefit,3.305714285714285,1.845,3.393333333333333,0.1462957876601163,2.0925,2.5416666666666665
31-9095.00,Pharmacy Aides,Moderate AI Benefit,2.6257142857142854,1.845,2.6266666666666665,0.1462727450596752,1.78,2.0416666666666665
19-1031.02,Range Managers,High AI Benefit,3.355714285714286,2.31,3.145,0.1460579595077411,2.19,2.7083333333333335
13-1041.07,Regulatory Affairs Specialists,High AI Benefit,3.3757142857142854,1.53,3.1033333333333335,0.145975303581493,2.035,2.8966666666666665
13-2023.00,Appraisers and Assessors of Real Estate,Moderate AI Benefit,2.857142857142857,1.965,2.8533333333333335,0.1459468475480929,1.875,2.2966666666666664
11-3031.03,Investment Fund Managers,High AI Benefit,3.394285714285714,1.345,3.02,0.1459358163504333,2.0025,2.9599999999999995
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Moderate AI Benefit,3.052857142857143,1.69,3.73,0.145828499453081,2.095,2.643333333333334
13-2071.00,Credit Counselors,High AI Benefit,3.1957142857142857,1.0625,3.2283333333333335,0.1457783889684274,1.8425,2.3100000000000005
29-2099.05,Ophthalmic Medical Technologists,Moderate AI Benefit,2.7671428571428573,2.155,3.061666666666667,0.1456726573999806,1.9675,2.2099999999999995
17-3029.01,Non-Destructive Testing Specialists,Low AI Benefit,3.0342857142857147,3.3125,2.77,0.1456692330470831,2.3425,2.561666666666667
17-3029.08,Photonics Technicians,Low AI Benefit,2.947142857142857,3.1900000000000004,2.4783333333333335,0.1456503871609638,2.405,2.5216666666666665
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",High AI Benefit,3.018571428571428,1.5325,2.9399999999999995,0.1455918874172186,1.8425,2.2916666666666665
25-1067.00,"Sociology Teachers, Postsecondary",High AI Benefit,3.444285714285715,1.22,3.145,0.1455477155045207,1.9375,2.565
25-4012.00,Curators,High AI Benefit,3.34,1.7525,3.0416666666666665,0.1455450703409946,2.095,3.105
17-1012.00,Landscape Architects,High AI Benefit,3.537142857142858,2.0625,3.3333333333333335,0.1455135658158607,2.22,3.1033333333333335
43-4141.00,New Accounts Clerks,High AI Benefit,2.66,1.3725,2.918333333333333,0.1452445847080763,1.6875,1.9800000000000004
27-1024.00,Graphic Designers,High AI Benefit,3.0342857142857147,1.5,2.9983333333333335,0.1452287521351738,1.8725,2.4583333333333335
51-6092.00,Fabric and Apparel Patternmakers,Low AI Benefit,3.16,2.6850000000000005,2.773333333333333,0.1450969048307781,2.09,2.4783333333333335
25-1082.00,"Library Science Teachers, Postsecondary",High AI Benefit,3.552857142857143,1.28,3.1650000000000005,0.1450029391894856,1.9675,2.6033333333333335
31-9092.00,Medical Assistants,Moderate AI Benefit,3.015714285714286,2.1225,3.2283333333333335,0.1449865520448433,2.06,2.3766666666666665
25-2021.00,"Elementary School Teachers, Except Special Education",High AI Benefit,3.5700000000000003,1.4375,3.688333333333333,0.1449241943851963,2.095,2.5400000000000005
13-1041.08,Customs Brokers,High AI Benefit,3.141428571428572,1.2825,3.0216666666666665,0.144876037541366,1.9075,2.813333333333333
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",Moderate AI Benefit,2.607142857142857,1.655,3.188333333333333,0.1448496322864835,1.8125,2.25
13-1041.03,Equal Opportunity Representatives and Officers,High AI Benefit,3.357142857142857,1.405,3.2283333333333335,0.1448456314913537,1.9375,2.418333333333333
11-3051.06,Hydroelectric Production Managers,Moderate AI Benefit,3.4985714285714287,3.1575,3.356666666666666,0.1447125765401553,2.625,3.3766666666666665
43-4021.00,Correspondence Clerks,Moderate AI Benefit,2.7157142857142853,1.25,2.77,0.1446981428170565,1.6575,2.061666666666667
51-4111.00,Tool and Die Makers,Minimal AI Benefit,2.9085714285714284,3.1875,2.1683333333333334,0.1446959574930864,2.2175,2.188333333333333
29-2051.00,Dietetic Technicians,Moderate AI Benefit,2.995714285714286,2.4375,3.02,0.14448318467241,2.0325,2.581666666666667
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",High AI Benefit,3.212857142857143,1.31,3.1483333333333334,0.1444352195761415,1.9675,2.893333333333333
29-2011.04,Histotechnologists,Minimal AI Benefit,2.948571428571428,2.8100000000000005,2.706666666666667,0.1443792282488273,2.1875,2.4983333333333335
43-5061.00,"Production, Planning, and Expediting Clerks",Moderate AI Benefit,2.75,1.9675,2.643333333333334,0.1440553172418208,1.875,2.75
29-1181.00,Audiologists,Moderate AI Benefit,3.6257142857142854,2.5600000000000005,3.3533333333333335,0.1440264816604405,2.3775,2.688333333333333
39-4011.00,Embalmers,Low AI Benefit,2.731428571428572,2.28,2.7483333333333335,0.1440099811526107,1.9375,2.3516666666666666
11-2011.00,Advertising and Promotions Managers,High AI Benefit,3.357142857142857,1.31,3.3333333333333335,0.1439837878915815,2.03,3.0383333333333336
29-2031.00,Cardiovascular Technologists and Technicians,Low AI Benefit,3.0700000000000003,3.03,3.0400000000000005,0.1439013979297833,2.2475,2.293333333333333
43-5051.00,Postal Service Clerks,Moderate AI Benefit,2.552857142857143,1.9075,2.6233333333333335,0.1437496263526035,1.7175,2.1466666666666665
31-9011.00,Massage Therapists,Moderate AI Benefit,2.7842857142857147,1.3775,2.5216666666666665,0.1436978240043793,1.625,2.0
29-2061.00,Licensed Practical and Licensed Vocational Nurses,Moderate AI Benefit,3.25,2.2475,3.5,0.1435891660566473,2.125,2.6466666666666665
19-3093.00,Historians,High AI Benefit,3.158571428571429,1.22,2.8349999999999995,0.1435182473200164,1.75,2.23
21-1014.00,Mental Health Counselors,High AI Benefit,3.518571428571428,1.375,3.645,0.1434604835860073,2.03,2.581666666666667
29-1071.01,Anesthesiologist Assistants,Moderate AI Benefit,3.1242857142857146,2.94,2.8533333333333335,0.1434550210394632,2.2525,2.561666666666667
43-4011.00,Brokerage Clerks,High AI Benefit,2.8214285714285716,1.28,2.793333333333333,0.1433475055583727,1.75,2.563333333333333
39-3012.00,Gambling and Sports Book Writers and Runners,Moderate AI Benefit,2.444285714285715,1.8125,2.6466666666666665,0.1433292155651636,1.6575,2.0033333333333334
29-1126.00,Respiratory Therapists,Moderate AI Benefit,3.34,2.8149999999999995,3.2716666666666665,0.1433086923273005,2.3425,2.606666666666666
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,Low AI Benefit,3.1785714285714284,3.75,2.5016666666666665,0.1432078559738134,2.5625,2.6233333333333335
51-4062.00,"Patternmakers, Metal and Plastic",Minimal AI Benefit,2.7142857142857144,2.9675,2.27,0.1431114821408796,2.0,1.9583333333333333
19-3033.00,Clinical and Counseling Psychologists,High AI Benefit,3.5171428571428573,1.1875,3.5833333333333335,0.1430339431914562,1.9675,2.5
29-2035.00,Magnetic Resonance Imaging Technologists,Low AI Benefit,2.91,3.0275,2.956666666666667,0.142612915678597,2.155,2.436666666666667
29-1127.00,Speech-Language Pathologists,High AI Benefit,3.787142857142857,1.9025,3.4599999999999995,0.1425043120551295,2.095,2.3316666666666666
11-3031.00,Financial Managers,High AI Benefit,3.3200000000000003,1.5325,3.3733333333333335,0.142495250158328,2.0625,3.1233333333333335
11-1011.03,Chief Sustainability Officers,High AI Benefit,3.68,1.72,3.5216666666666665,0.1424544666088464,2.19,3.231666666666667
29-1024.00,Prosthodontists,High AI Benefit,3.358571428571428,2.34,3.081666666666667,0.1423668143924133,2.1875,2.645
51-3092.00,Food Batchmakers,Minimal AI Benefit,2.644285714285714,2.78,2.331666666666667,0.1420572928617977,1.8425,1.9366666666666668
29-1141.04,Clinical Nurse Specialists,Moderate AI Benefit,3.732857142857142,2.19,3.686666666666667,0.1418573515092502,2.22,2.7899999999999996
19-4051.00,Nuclear Technicians,Low AI Benefit,3.107142857142857,3.47,2.895,0.1418152350081037,2.375,2.4599999999999995
29-9093.00,Surgical Assistants,Low AI Benefit,3.032857142857143,2.75,3.0,0.1417640215628123,2.06,2.438333333333333
13-1081.00,Logisticians,High AI Benefit,3.552857142857143,1.5925,3.395,0.1417261957493416,2.095,3.1466666666666665
51-7032.00,"Patternmakers, Wood",Minimal AI Benefit,2.838571428571428,2.905,2.2083333333333335,0.1417096771555003,2.0625,2.355
31-9097.00,Phlebotomists,Moderate AI Benefit,2.7142857142857144,2.315,2.956666666666667,0.1416532310776068,1.935,2.2716666666666665
25-3041.00,Tutors,High AI Benefit,3.355714285714286,1.125,3.375,0.1416230074685096,1.815,2.145
29-1124.00,Radiation Therapists,Moderate AI Benefit,3.0357142857142856,3.0649999999999995,3.02,0.141609979836476,2.2825,2.56
29-1023.00,Orthodontists,High AI Benefit,3.678571428571429,2.2825,3.4399999999999995,0.1415569135005883,2.22,2.811666666666667
11-3031.01,Treasurers and Controllers,High AI Benefit,3.640000000000001,1.47,3.0416666666666665,0.1414349467902506,2.06,3.3533333333333335
11-9111.00,Medical and Health Services Managers,High AI Benefit,3.838571428571429,1.685,3.8783333333333334,0.1413559988065696,2.3125,3.645
21-1023.00,Mental Health and Substance Abuse Social Workers,High AI Benefit,3.5542857142857143,1.565,3.731666666666666,0.1412337265323757,2.0625,2.6899999999999995
41-3011.00,Advertising Sales Agents,Moderate AI Benefit,2.8742857142857146,1.655,3.48,0.1411287796758807,1.8775,2.4166666666666665
25-2058.00,"Special Education Teachers, Secondary School",High AI Benefit,3.5171428571428573,1.625,3.688333333333333,0.1407563878620465,2.0625,2.73
51-9011.00,Chemical Equipment Operators and Tenders,Low AI Benefit,3.0542857142857143,3.44,2.4983333333333335,0.1407553500181356,2.2175,2.4166666666666665
19-1032.00,Foresters,Moderate AI Benefit,3.448571428571428,2.595,3.186666666666667,0.1406395933941022,2.3125,3.3100000000000005
31-2021.00,Physical Therapist Assistants,Moderate AI Benefit,3.0357142857142856,2.4025,3.081666666666667,0.1405968842705918,2.065,2.48
13-1021.00,"Buyers and Purchasing Agents, Farm Products",High AI Benefit,3.018571428571428,2.0,3.0833333333333335,0.1405919032266297,1.9675,2.895
41-4011.07,Solar Sales Representatives and Assessors,Moderate AI Benefit,2.944285714285715,1.8425,3.311666666666667,0.1404075745840121,1.8775,2.3333333333333335
51-8011.00,Nuclear Power Reactor Operators,Moderate AI Benefit,3.2157142857142853,3.5625,2.9599999999999995,0.1403889152381597,2.22,2.73
27-1027.00,Set and Exhibit Designers,High AI Benefit,3.34,1.875,3.0833333333333335,0.1403215003348961,2.095,3.0016666666666665
33-3031.00,Fish and Game Wardens,Low AI Benefit,3.1999999999999997,2.6575,3.1683333333333334,0.1401398146642822,2.155,2.476666666666667
31-9099.01,Speech-Language Pathology Assistants,Moderate AI Benefit,2.9271428571428575,1.5625,3.0,0.14002749487978,1.7825,2.27
51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Minimal AI Benefit,2.7857142857142856,3.2175,2.5416666666666665,0.1398444397089713,2.1875,2.375
43-4051.00,Customer Service Representatives,Moderate AI Benefit,2.7671428571428573,1.2175,3.105,0.1395929416482855,1.6575,2.1266666666666665
29-2099.08,Patient Representatives,Moderate AI Benefit,2.9271428571428575,1.25,3.563333333333333,0.1394331983805667,1.845,2.6466666666666665
43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Low AI Benefit,2.7157142857142853,2.3425,2.813333333333333,0.1394109223343882,1.8775,2.188333333333333
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",High AI Benefit,3.4642857142857144,1.4075,3.5416666666666665,0.1393691834758074,1.97,2.7516666666666665
29-1129.01,Art Therapists,High AI Benefit,3.448571428571428,1.4675,3.4150000000000005,0.1392612790022469,1.97,2.625
31-2022.00,Physical Therapist Aides,Moderate AI Benefit,2.731428571428572,1.935,2.936666666666667,0.1392557136370516,1.7525,2.0416666666666665
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",High AI Benefit,3.518571428571428,1.28,3.105,0.139144024346777,1.8125,2.3100000000000005
43-4031.00,"Court, Municipal, and License Clerks",Low AI Benefit,2.642857142857143,1.5625,2.7083333333333335,0.1390851289297068,1.6875,2.311666666666667
21-1022.00,Healthcare Social Workers,High AI Benefit,3.5,1.465,3.6233333333333335,0.1390330188679245,1.965,2.58
29-2081.00,"Opticians, Dispensing",Low AI Benefit,2.891428571428572,2.375,3.1466666666666665,0.1389120578738304,2.0025,2.375
31-9094.00,Medical Transcriptionists,Moderate AI Benefit,2.622857142857143,1.31,2.2083333333333335,0.1388840964770021,1.4375,1.7716666666666665
29-2032.00,Diagnostic Medical Sonographers,Low AI Benefit,3.0885714285714285,2.81,3.1033333333333335,0.1387541104238047,2.155,2.3766666666666665
25-3021.00,Self-Enrichment Teachers,Moderate AI Benefit,2.9285714285714284,1.78,2.873333333333333,0.1386324819129133,1.72,2.105
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Low AI Benefit,3.251428571428572,2.78,3.1466666666666665,0.1385832383124287,2.315,3.1466666666666665
27-1014.00,Special Effects Artists and Animators,Low AI Benefit,2.9985714285714287,1.78,2.7933333333333334,0.1385532287167149,1.81,2.461666666666666
11-9199.10,Wind Energy Development Managers,Moderate AI Benefit,3.2328571428571427,2.095,3.2516666666666665,0.138318935922206,2.0625,3.1466666666666665
27-4012.00,Broadcast Technicians,Low AI Benefit,3.105714285714286,3.095,2.606666666666666,0.1382569384500592,2.25,2.561666666666667
21-1091.00,Health Education Specialists,High AI Benefit,3.4642857142857144,1.44,3.375,0.1381121699946537,1.9375,2.811666666666667
11-2021.00,Marketing Managers,High AI Benefit,3.6257142857142854,1.4075,3.4783333333333335,0.1379614066843364,2.0325,3.188333333333333
25-4011.00,Archivists,Moderate AI Benefit,3.018571428571429,1.6225,2.7916666666666665,0.1379465668196278,1.75,2.5033333333333334
43-5071.00,"Shipping, Receiving, and Inventory Clerks",Low AI Benefit,2.5199999999999996,2.0925,2.6683333333333334,0.1378958120531154,1.6875,2.206666666666667
25-2051.00,"Special Education Teachers, Preschool",High AI Benefit,3.34,1.5025,3.375,0.1378929950358522,1.875,2.475
29-1291.00,Acupuncturists,Moderate AI Benefit,3.0157142857142856,1.875,2.9983333333333335,0.1377292094479071,1.8125,2.3333333333333335
13-2061.00,Financial Examiners,High AI Benefit,3.6628571428571424,1.5,3.23,0.1376320983336248,1.9675,2.935
51-8031.00,Water and Wastewater Treatment Plant and System Operators,Minimal AI Benefit,2.872857142857143,3.565,2.563333333333333,0.1375218531468531,2.2475,2.5016666666666665
33-2021.00,Fire Inspectors and Investigators,Moderate AI Benefit,2.9985714285714287,2.4675,3.168333333333333,0.1374875373878364,1.97,2.601666666666667
41-9012.00,Models,Moderate AI Benefit,1.84,1.03,2.105,0.1374288745298486,1.1875,1.4783333333333335
43-4041.00,"Credit Authorizers, Checkers, and Clerks",Moderate AI Benefit,2.6242857142857146,1.0925,2.811666666666667,0.1373628101512626,1.56,2.268333333333333
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",Moderate AI Benefit,3.037142857142857,1.625,3.0216666666666665,0.1373392526279099,1.7825,2.23
27-3043.05,"Poets, Lyricists and Creative Writers",Moderate AI Benefit,3.0357142857142856,1.1875,2.6033333333333335,0.1372649662179856,1.56,1.9783333333333335
29-1292.00,Dental Hygienists,Low AI Benefit,2.857142857142857,2.44,2.936666666666667,0.1371751025991792,1.91,2.125
41-2011.00,Cashiers,Low AI Benefit,2.1242857142857146,1.535,2.668333333333333,0.13699863301437,1.4675,1.9166666666666667
13-1041.04,Government Property Inspectors and Investigators,Moderate AI Benefit,3.3042857142857143,2.5625,3.1666666666666665,0.136998282807209,2.0325,2.77
51-4061.00,"Model Makers, Metal and Plastic",Minimal AI Benefit,2.8757142857142854,3.3425,2.2516666666666665,0.136961580472052,2.06,2.1033333333333335
41-9022.00,Real Estate Sales Agents,Moderate AI Benefit,2.9085714285714284,1.8425,3.52,0.1366852011381731,1.87,2.5400000000000005
43-3061.00,Procurement Clerks,High AI Benefit,3.1257142857142854,1.2175,3.02,0.1366719324964763,1.72,2.5016666666666665
13-1131.00,Fundraisers,Moderate AI Benefit,3.108571428571428,1.435,3.625,0.1366625442449571,1.9075,2.8516666666666666
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,Moderate AI Benefit,2.8385714285714285,1.72,3.2916666666666665,0.136609482742598,1.75,2.2099999999999995
45-4023.00,Log Graders and Scalers,Minimal AI Benefit,2.7328571428571427,2.5325,2.706666666666667,0.1366040263723865,1.845,2.2516666666666665
39-3011.00,Gambling Dealers,Moderate AI Benefit,2.25,1.4675,2.7900000000000005,0.1364693118412895,1.4675,1.7483333333333335
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Low AI Benefit,3.052857142857143,3.595,2.795,0.1364245742985013,2.435,2.563333333333333
43-3071.00,Tellers,Moderate AI Benefit,2.607142857142857,1.845,2.875,0.1364050513858,1.6575,2.1666666666666665
