O*NET-SOC Code,Title,technical_composition,Tech_Stratum,cognitive_skills,social_skills,operations_skills,maintenance_skills,management_skills,technical_skills,AI_Transformation_Classification,AI_Enhancement_Classification
11-9033.00,"Education Administrators, Postsecondary",0.12432614555256064,Medium-Tech,3.59,3.685,1.345,1.0,3.375,1.845,High Transformation Potential,Not Applicable
11-9041.00,Architectural and Engineering Managers,0.16112531969309463,High-Tech,3.574285714285714,3.331666666666667,2.25,1.03,3.168333333333333,2.565,Not Applicable,Minimal Enhancement Potential
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,0.1615912534537568,High-Tech,3.231428571428572,2.981666666666666,2.5925,1.7175,2.9150000000000005,2.59,Not Applicable,Minimal Enhancement Potential
11-9051.00,Food Service Managers,0.11944508670520232,Medium-Tech,3.231428571428572,3.435,2.28,1.53,3.125,1.845,High Transformation Potential,Not Applicable
11-9071.00,Gambling Managers,0.13122331190465017,Medium-Tech,3.447142857142857,3.5833333333333335,1.9675,1.0,3.2266666666666666,1.9975,High Transformation Potential,Not Applicable
11-9081.00,Lodging Managers,0.11140251534839364,Low-Tech,3.4114285714285715,3.8966666666666665,2.25,1.285,3.355,1.78,Moderate Transformation Potential,Not Applicable
11-9111.00,Medical and Health Services Managers,0.14135599880656968,Medium-Tech,3.838571428571429,3.8783333333333334,1.685,1.0,3.645,2.3125,High Transformation Potential,Not Applicable
11-9121.00,Natural Sciences Managers,0.18341293576753115,High-Tech,3.697142857142857,3.23,2.03,1.03,3.08,2.935,Not Applicable,Low Enhancement Potential
11-9121.01,Clinical Research Coordinators,0.15956542749071032,High-Tech,3.2471428571428578,3.25,1.5,1.03,2.981666666666667,2.28,Not Applicable,Low Enhancement Potential
11-9121.02,Water Resource Specialists,0.16114343536554512,High-Tech,3.447142857142857,3.061666666666667,2.5,1.0,3.018333333333334,2.5025,Not Applicable,Minimal Enhancement Potential
11-9131.00,Postmasters and Mail Superintendents,0.13010559089229415,Medium-Tech,3.2857142857142856,3.5833333333333335,2.0925,1.0,3.2099999999999995,1.97,High Transformation Potential,Not Applicable
11-9141.00,"Property, Real Estate, and Community Association Managers",0.13276054689578123,Medium-Tech,2.961428571428572,3.2283333333333335,1.7175,1.03,2.706666666666667,1.7825,High Transformation Potential,Not Applicable
11-9151.00,Social and Community Service Managers,0.1352108835292692,Medium-Tech,3.6628571428571424,3.6466666666666665,1.905,1.0,3.3766666666666665,2.125,High Transformation Potential,Not Applicable
11-9161.00,Emergency Management Directors,0.12439299406148988,Medium-Tech,3.838571428571429,3.8333333333333335,1.905,1.0,3.2900000000000005,1.97,High Transformation Potential,Not Applicable
11-9171.00,Funeral Home Managers,0.12823562156828014,Medium-Tech,2.967142857142857,3.4166666666666665,1.9975,1.03,2.893333333333334,1.81,High Transformation Potential,Not Applicable
11-9179.01,Fitness and Wellness Coordinators,0.12320353466692562,Medium-Tech,3.1614285714285715,3.438333333333333,1.8425,1.375,3.0816666666666666,1.8125,High Transformation Potential,Not Applicable
11-9179.02,Spa Managers,0.11579443730368186,Low-Tech,3.358571428571429,3.709999999999999,2.28,1.095,3.3966666666666665,1.8125,High Transformation Potential,Not Applicable
11-9199.01,Regulatory Affairs Managers,0.14751630707476165,Medium-Tech,3.4642857142857144,3.1466666666666665,1.2825,1.0,3.0400000000000005,2.065,High Transformation Potential,Not Applicable
11-9199.02,Compliance Managers,0.12627238757892026,Medium-Tech,3.3214285714285716,3.395,1.7175,1.03,2.645,1.75,High Transformation Potential,Not Applicable
11-9199.08,Loss Prevention Managers,0.11473824761729362,Low-Tech,3.538571428571428,3.665000000000001,2.28,1.0,3.25,1.78,High Transformation Potential,Not Applicable
11-9199.09,Wind Energy Operations Managers,0.1330726304822527,Medium-Tech,3.234285714285714,3.3516666666666666,2.875,1.875,3.1266666666666665,2.22,Moderate Transformation Potential,Not Applicable
11-9199.10,Wind Energy Development Managers,0.13831893592220607,Medium-Tech,3.2328571428571427,3.2516666666666665,2.095,1.1225,3.1466666666666665,2.0625,High Transformation Potential,Not Applicable
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,0.15704137316695238,High-Tech,3.6242857142857146,3.2916666666666665,2.2175,1.0625,3.2099999999999995,2.4975,Not Applicable,Minimal Enhancement Potential
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",0.12862694300518135,Medium-Tech,3.0,3.5849999999999995,1.125,1.0,2.5016666666666665,1.655,High Transformation Potential,Not Applicable
13-1021.00,"Buyers and Purchasing Agents, Farm Products",0.14059190322662973,Medium-Tech,3.018571428571428,3.0833333333333335,2.0,1.03,2.895,1.9675,High Transformation Potential,Not Applicable
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",0.14640337072947865,Medium-Tech,3.1257142857142854,3.3733333333333335,1.595,1.0,2.9166666666666665,2.06,High Transformation Potential,Not Applicable
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0.11747691899686728,Medium-Tech,3.4828571428571427,3.436666666666667,1.5925,1.0,3.1650000000000005,1.6875,High Transformation Potential,Not Applicable
13-1031.00,"Claims Adjusters, Examiners, and Investigators",0.14919386551317343,Medium-Tech,3.1257142857142854,3.0416666666666665,1.81,1.03,2.5833333333333335,2.0325,High Transformation Potential,Not Applicable
13-1032.00,"Insurance Appraisers, Auto Damage",0.12224141239685284,Medium-Tech,2.6799999999999997,2.815,2.22,1.405,2.315,1.5925,Moderate Transformation Potential,Not Applicable
13-1041.00,Compliance Officers,0.11648690292758089,Low-Tech,2.9828571428571427,3.1650000000000005,1.935,1.0,2.5216666666666665,1.53,High Transformation Potential,Not Applicable
13-1041.01,Environmental Compliance Inspectors,0.15437784402949944,Medium-Tech,3.447142857142857,2.9599999999999995,2.8125,1.03,2.581666666666667,2.3425,Moderate Transformation Potential,Not Applicable
13-1041.03,Equal Opportunity Representatives and Officers,0.14484563149135377,Medium-Tech,3.357142857142857,3.2283333333333335,1.405,1.03,2.418333333333333,1.9375,High Transformation Potential,Not Applicable
13-1041.04,Government Property Inspectors and Investigators,0.13699828280720902,Medium-Tech,3.3042857142857143,3.1666666666666665,2.5625,1.0,2.77,2.0325,Moderate Transformation Potential,Not Applicable
13-1041.06,Coroners,0.15905287246396613,High-Tech,3.1785714285714284,3.1216666666666666,1.905,1.1875,2.3316666666666666,2.2175,Not Applicable,Minimal Enhancement Potential
13-1041.07,Regulatory Affairs Specialists,0.14597530358149308,Medium-Tech,3.3757142857142854,3.1033333333333335,1.53,1.0,2.8966666666666665,2.035,High Transformation Potential,Not Applicable
13-1041.08,Customs Brokers,0.14487603754136605,Medium-Tech,3.141428571428572,3.0216666666666665,1.2825,1.0,2.813333333333333,1.9075,High Transformation Potential,Not Applicable
13-1051.00,Cost Estimators,0.15641554378355318,High-Tech,3.197142857142857,2.956666666666667,1.22,1.03,2.895,2.095,Not Applicable,Low Enhancement Potential
13-1071.00,Human Resources Specialists,0.1293933352321276,Medium-Tech,2.9642857142857144,3.1266666666666665,1.3425,1.0,2.483333333333333,1.6225,High Transformation Potential,Not Applicable
13-1074.00,Farm Labor Contractors,0.11813103495504661,Medium-Tech,2.4828571428571427,2.768333333333334,2.095,1.03,2.355,1.4375,Moderate Transformation Potential,Not Applicable
13-1075.00,Labor Relations Specialists,0.11341354923932676,Low-Tech,3.2671428571428573,3.5849999999999995,1.185,1.0,2.7083333333333335,1.5025,High Transformation Potential,Not Applicable
13-1081.00,Logisticians,0.14172619574934162,Medium-Tech,3.552857142857143,3.395,1.5925,1.0,3.1466666666666665,2.095,High Transformation Potential,Not Applicable
13-1081.01,Logistics Engineers,0.17574661149137114,High-Tech,3.608571428571428,3.0833333333333335,2.3125,1.3775,3.395,2.9375,Not Applicable,Low Enhancement Potential
13-1081.02,Logistics Analysts,0.1510854341736695,Medium-Tech,3.3200000000000003,2.9399999999999995,1.7175,1.0,3.145,2.1575,High Transformation Potential,Not Applicable
13-1111.00,Management Analysts,0.14866426971308308,Medium-Tech,3.607142857142857,3.48,1.5325,1.03,3.063333333333333,2.22,High Transformation Potential,Not Applicable
13-1121.00,"Meeting, Convention, and Event Planners",0.1120573316580576,Low-Tech,3.3042857142857147,3.5866666666666664,2.0,1.53,3.2083333333333335,1.72,High Transformation Potential,Not Applicable
13-1131.00,Fundraisers,0.13666254424495713,Medium-Tech,3.108571428571428,3.625,1.435,1.03,2.8516666666666666,1.9075,High Transformation Potential,Not Applicable
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",0.15616242650695092,High-Tech,3.1242857142857146,2.98,1.22,1.0,2.645,2.03,Not Applicable,Low Enhancement Potential
13-1151.00,Training and Development Specialists,0.12540458311755565,Medium-Tech,3.7157142857142857,3.665000000000001,1.5,1.03,2.956666666666667,1.845,High Transformation Potential,Not Applicable
13-1161.00,Market Research Analysts and Marketing Specialists,0.16949389423664857,High-Tech,3.447142857142857,2.9149999999999996,1.375,1.0,2.5816666666666666,2.31,Not Applicable,Low Enhancement Potential
13-1161.01,Search Marketing Strategists,0.1625202376815034,High-Tech,3.358571428571428,3.1033333333333335,1.53,1.0,2.77,2.2825,Not Applicable,Low Enhancement Potential
13-1199.04,Business Continuity Planners,0.13054673212051207,Medium-Tech,3.5714285714285716,3.2900000000000005,1.75,1.0625,3.23,1.9375,High Transformation Potential,Not Applicable
13-1199.05,Sustainability Specialists,0.14926968293551834,Medium-Tech,3.3200000000000003,3.061666666666667,1.81,1.06,2.688333333333333,2.095,High Transformation Potential,Not Applicable
13-1199.06,Online Merchants,0.1567736590319908,High-Tech,2.8757142857142854,3.0416666666666665,1.4675,1.155,2.7283333333333335,2.095,Not Applicable,Minimal Enhancement Potential
13-2011.00,Accountants and Auditors,0.1541987450491745,Medium-Tech,3.0714285714285716,3.02,1.5025,1.0925,2.6266666666666665,2.0625,High Transformation Potential,Not Applicable
13-2023.00,Appraisers and Assessors of Real Estate,0.14594684754809295,Medium-Tech,2.857142857142857,2.8533333333333335,1.965,1.0,2.2966666666666664,1.875,High Transformation Potential,Not Applicable
13-2031.00,Budget Analysts,0.16417099220045112,High-Tech,3.2142857142857144,2.706666666666667,1.25,1.0,2.813333333333333,2.1575,Not Applicable,Low Enhancement Potential
13-2041.00,Credit Analysts,0.1502472127968977,Medium-Tech,3.0714285714285716,2.5833333333333335,1.405,1.0,2.375,1.845,High Transformation Potential,Not Applicable
13-2052.00,Personal Financial Advisors,0.14837502719164672,Medium-Tech,3.265714285714286,3.27,1.3425,1.0,2.7733333333333334,2.03,High Transformation Potential,Not Applicable
13-2053.00,Insurance Underwriters,0.147969218430751,Medium-Tech,3.0171428571428573,2.8966666666666665,1.25,1.0,2.4599999999999995,1.845,High Transformation Potential,Not Applicable
13-2061.00,Financial Examiners,0.1376320983336248,Medium-Tech,3.6628571428571424,3.23,1.5,1.0,2.935,1.9675,High Transformation Potential,Not Applicable
13-2071.00,Credit Counselors,0.1457783889684274,Medium-Tech,3.1957142857142857,3.2283333333333335,1.0625,1.0,2.3100000000000005,1.8425,High Transformation Potential,Not Applicable
13-2072.00,Loan Officers,0.15117877645048025,Medium-Tech,3.0542857142857143,2.9616666666666664,1.4075,1.0,2.455,1.9375,High Transformation Potential,Not Applicable
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",0.1455918874172186,Medium-Tech,3.018571428571428,2.9399999999999995,1.5325,1.03,2.2916666666666665,1.8425,High Transformation Potential,Not Applicable
13-2082.00,Tax Preparers,0.15219219219219218,Medium-Tech,2.872857142857143,2.77,1.315,1.0,2.125,1.81,High Transformation Potential,Not Applicable
13-2099.01,Financial Quantitative Analysts,0.187352309567438,High-Tech,3.357142857142857,2.98,1.4975,1.0,2.8333333333333335,2.6899999999999995,Not Applicable,Low Enhancement Potential
13-2099.04,"Fraud Examiners, Investigators and Analysts",0.13497579576493496,Medium-Tech,3.268571428571428,3.2283333333333335,1.345,1.0,2.5816666666666666,1.7825,High Transformation Potential,Not Applicable
15-1211.00,Computer Systems Analysts,0.16835149662212143,High-Tech,3.41,2.895,2.905,1.9075,2.936666666666667,2.845,Not Applicable,Minimal Enhancement Potential
15-1211.01,Health Informatics Specialists,0.16671959352175292,High-Tech,3.6957142857142857,3.186666666666667,2.2475,1.2825,3.02,2.6875,Not Applicable,Minimal Enhancement Potential
15-1212.00,Information Security Analysts,0.14749503123787502,Medium-Tech,3.2885714285714287,2.7916666666666665,2.4675,1.6225,2.6466666666666665,2.2175,High Transformation Potential,Not Applicable
15-1221.00,Computer and Information Research Scientists,0.20224915256703085,High-Tech,3.5342857142857147,2.8333333333333335,2.345,1.28,3.063333333333333,3.3100000000000005,Not Applicable,Low Enhancement Potential
15-1231.00,Computer Network Support Specialists,0.134097775336446,Medium-Tech,3.0542857142857143,2.5416666666666665,2.75,2.6875,2.4783333333333335,2.0925,Moderate Transformation Potential,Not Applicable
15-1232.00,Computer User Support Specialists,0.1321893455006028,Medium-Tech,3.1942857142857144,2.8533333333333335,2.94,2.0925,2.4599999999999995,2.0625,Moderate Transformation Potential,Not Applicable
15-1241.00,Computer Network Architects,0.17091859004922336,High-Tech,3.4285714285714284,3.0833333333333335,2.9375,2.185,3.063333333333333,3.03,Not Applicable,Minimal Enhancement Potential
15-1241.01,Telecommunications Engineering Specialists,0.149946881165579,Medium-Tech,3.0700000000000003,2.936666666666667,2.78,2.4675,2.7483333333333335,2.47,Moderate Transformation Potential,Not Applicable
15-1242.00,Database Administrators,0.17875309511189869,High-Tech,3.4828571428571427,2.73,2.3125,1.25,2.5833333333333335,2.69,Not Applicable,Minimal Enhancement Potential
15-1243.00,Database Architects,0.18520752234223367,High-Tech,3.4299999999999997,2.8966666666666665,1.9375,1.37,2.75,2.8149999999999995,Not Applicable,Low Enhancement Potential
15-1243.01,Data Warehousing Specialists,0.19256318925395519,High-Tech,3.1614285714285715,2.788333333333334,2.095,1.185,2.563333333333333,2.8125,Not Applicable,Minimal Enhancement Potential
15-1244.00,Network and Computer Systems Administrators,0.15730235676344698,High-Tech,3.4642857142857144,2.855,3.345,2.815,3.0833333333333335,2.905,Not Applicable,Minimal Enhancement Potential
15-1251.00,Computer Programmers,0.22005988023952094,High-Tech,3.1957142857142857,2.6016666666666666,2.28,1.0625,2.706666666666667,3.3425,Not Applicable,Low Enhancement Potential
15-1253.00,Software Quality Assurance Analysts and Testers,0.18924873150998286,High-Tech,3.302857142857143,2.6033333333333335,2.785,1.4675,2.4150000000000005,2.935,Not Applicable,Minimal Enhancement Potential
15-1254.00,Web Developers,0.1883757258268114,High-Tech,3.392857142857143,2.856666666666667,2.185,1.3125,2.5,2.8425,Not Applicable,Minimal Enhancement Potential
15-1255.01,Video Game Designers,0.19367203688991175,High-Tech,3.355714285714286,2.9583333333333335,1.5925,1.06,2.7533333333333334,2.8149999999999995,Not Applicable,Low Enhancement Potential
15-1299.01,Web Administrators,0.16129388385957166,High-Tech,3.34,2.793333333333333,2.4375,1.4025,2.688333333333333,2.435,Not Applicable,Minimal Enhancement Potential
15-1299.02,Geographic Information Systems Technologists and Technicians,0.19051466874799136,High-Tech,2.9457142857142857,2.645,1.53,1.0625,2.311666666666667,2.47,Not Applicable,Low Enhancement Potential
15-1299.03,Document Management Specialists,0.15120104276581217,Medium-Tech,3.2300000000000004,2.938333333333333,1.4375,1.0,2.7900000000000005,2.03,High Transformation Potential,Not Applicable
15-1299.08,Computer Systems Engineers/Architects,0.1766029167513473,High-Tech,3.5714285714285716,2.938333333333333,2.655,1.8425,2.98,3.0,Not Applicable,Minimal Enhancement Potential
15-1299.09,Information Technology Project Managers,0.15133592776607036,Medium-Tech,3.357142857142857,3.375,1.8425,1.0,3.561666666666667,2.3425,High Transformation Potential,Not Applicable
15-2011.00,Actuaries,0.17638093365126972,High-Tech,3.5357142857142856,2.8966666666666665,1.47,1.0,3.063333333333333,2.5625,Not Applicable,Low Enhancement Potential
15-2021.00,Mathematicians,0.22854946181445415,High-Tech,3.5357142857142856,2.5,1.28,1.0,2.4350000000000005,3.1850000000000005,Not Applicable,Low Enhancement Potential
15-2031.00,Operations Research Analysts,0.20369584877271887,High-Tech,3.644285714285714,2.7916666666666665,1.5325,1.0,2.8766666666666665,3.03,Not Applicable,Low Enhancement Potential
15-2041.00,Statisticians,0.22930385700846662,High-Tech,3.4299999999999997,2.543333333333333,1.47,1.0,2.48,3.25,Not Applicable,Low Enhancement Potential
15-2041.01,Biostatisticians,0.22914046289545997,High-Tech,3.6257142857142854,2.75,1.3725,1.125,2.5816666666666666,3.405,Not Applicable,Low Enhancement Potential
15-2051.01,Business Intelligence Analysts,0.1715058467902315,High-Tech,3.2514285714285713,2.856666666666667,1.5325,1.0,2.518333333333333,2.31,Not Applicable,Low Enhancement Potential
15-2051.02,Clinical Data Managers,0.18157399092447926,High-Tech,3.3742857142857146,2.9166666666666665,1.9975,1.22,2.7516666666666665,2.72,Not Applicable,Low Enhancement Potential
15-2099.01,Bioinformatics Technicians,0.20650835532102024,High-Tech,3.16,2.731666666666667,1.7775,1.09,2.518333333333334,2.9350000000000005,Not Applicable,Low Enhancement Potential
17-1011.00,"Architects, Except Landscape and Naval",0.16183208400306448,High-Tech,3.731428571428572,3.145,2.2825,1.0625,3.063333333333333,2.565,Not Applicable,Minimal Enhancement Potential
17-1012.00,Landscape Architects,0.14551356581586072,Medium-Tech,3.537142857142858,3.3333333333333335,2.0625,1.0,3.1033333333333335,2.22,High Transformation Potential,Not Applicable
17-1021.00,Cartographers and Photogrammetrists,0.157182210301207,High-Tech,2.944285714285715,2.7099999999999995,1.7825,1.2825,2.3533333333333335,2.065,Not Applicable,Minimal Enhancement Potential
17-1022.00,Surveyors,0.15941731637258924,High-Tech,3.052857142857143,2.875,2.47,1.72,2.563333333333333,2.405,Not Applicable,Minimal Enhancement Potential
17-1022.01,Geodetic Surveyors,0.18274845968390035,High-Tech,3.27,2.625,2.5649999999999995,1.69,2.561666666666667,2.8425,Not Applicable,Minimal Enhancement Potential
17-2011.00,Aerospace Engineers,0.20344671268132897,High-Tech,3.768571428571428,3.0416666666666665,2.345,1.0625,2.7516666666666665,3.3125,Not Applicable,Low Enhancement Potential
17-2021.00,Agricultural Engineers,0.17926019601644008,High-Tech,3.4314285714285715,2.936666666666667,2.59,1.66,2.98,2.97,Not Applicable,Minimal Enhancement Potential
17-2031.00,Bioengineers and Biomedical Engineers,0.19483409238776836,High-Tech,3.734285714285714,2.938333333333333,2.72,2.405,2.935,3.5649999999999995,Not Applicable,Low Enhancement Potential
17-2041.00,Chemical Engineers,0.19370456679767661,High-Tech,3.642857142857143,2.98,2.8125,1.28,3.0833333333333335,3.315,Not Applicable,Minimal Enhancement Potential
17-2051.00,Civil Engineers,0.18615168920446837,High-Tech,3.448571428571429,3.02,1.8125,1.3425,3.23,2.94,Not Applicable,Low Enhancement Potential
17-2051.01,Transportation Engineers,0.17906434048227582,High-Tech,3.537142857142857,3.1233333333333335,2.155,1.0,3.3766666666666665,2.8775,Not Applicable,Low Enhancement Potential
17-2051.02,Water/Wastewater Engineers,0.1871854502516398,High-Tech,3.5885714285714285,3.0400000000000005,2.435,1.1875,3.188333333333333,3.095,Not Applicable,Low Enhancement Potential
17-2061.00,Computer Hardware Engineers,0.1708317063647013,High-Tech,3.518571428571428,2.7266666666666666,2.5625,2.155,2.688333333333333,2.8125,Not Applicable,Minimal Enhancement Potential
17-2071.00,Electrical Engineers,0.16506054047730467,High-Tech,3.518571428571428,2.938333333333333,2.5025,1.78,2.855,2.6875,Not Applicable,Minimal Enhancement Potential
17-2072.00,"Electronics Engineers, Except Computer",0.17118501956400223,High-Tech,3.5,2.8983333333333334,3.0,2.5325,2.8966666666666665,3.0625,Not Applicable,Minimal Enhancement Potential
17-2072.01,Radio Frequency Identification Device Specialists,0.1531440700451048,Medium-Tech,3.16,2.875,2.5325,2.125,2.606666666666666,2.405,Moderate Transformation Potential,Not Applicable
17-2081.00,Environmental Engineers,0.1641907740422205,High-Tech,3.5728571428571425,3.105,2.215,1.0,2.8333333333333335,2.5,Not Applicable,Minimal Enhancement Potential
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.15478657774408686,Medium-Tech,3.231428571428572,3.1033333333333335,2.3725,1.0,2.77,2.285,High Transformation Potential,Not Applicable
17-2111.02,Fire-Prevention and Protection Engineers,0.16720301415234196,High-Tech,3.552857142857143,3.0,2.75,1.22,3.186666666666667,2.7525,Not Applicable,Minimal Enhancement Potential
17-2112.00,Industrial Engineers,0.16112312076250368,High-Tech,3.268571428571428,2.811666666666667,2.22,1.0625,2.8333333333333335,2.3425,Not Applicable,Minimal Enhancement Potential
17-2112.01,Human Factors Engineers and Ergonomists,0.1917808219178082,High-Tech,3.6242857142857146,3.0433333333333334,2.1225,1.1875,2.7916666666666665,3.03,Not Applicable,Low Enhancement Potential
17-2112.02,Validation Engineers,0.17299287042777434,High-Tech,3.4285714285714284,2.875,2.6225,1.155,2.6233333333333335,2.6575,Not Applicable,Minimal Enhancement Potential
17-2112.03,Manufacturing Engineers,0.16503409409347075,High-Tech,3.661428571428571,3.0400000000000005,3.3125,2.655,3.293333333333333,3.155,Not Applicable,Minimal Enhancement Potential
17-2121.00,Marine Engineers and Naval Architects,0.18006464085951682,High-Tech,3.481428571428572,3.0216666666666665,2.6525,1.2175,2.855,2.905,Not Applicable,Minimal Enhancement Potential
17-2131.00,Materials Engineers,0.18626322305971285,High-Tech,3.3742857142857146,3.0400000000000005,2.655,1.5,2.8100000000000005,3.0625,Not Applicable,Minimal Enhancement Potential
17-2141.00,Mechanical Engineers,0.1853284998574396,High-Tech,3.5014285714285713,2.8349999999999995,2.9675,2.0625,2.92,3.25,Not Applicable,Minimal Enhancement Potential
17-2141.01,Fuel Cell Engineers,0.18099989081181417,High-Tech,3.4614285714285713,2.811666666666667,2.9975,2.185,2.831666666666667,3.1575,Not Applicable,Minimal Enhancement Potential
17-2141.02,Automotive Engineers,0.19556154099628933,High-Tech,3.607142857142857,3.0833333333333335,2.5,1.22,2.9583333333333335,3.25,Not Applicable,Low Enhancement Potential
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",0.18433078353178264,High-Tech,3.658571428571429,2.9800000000000004,2.44,1.3125,3.293333333333333,3.0925,Not Applicable,Low Enhancement Potential
17-2161.00,Nuclear Engineers,0.18212056532248833,High-Tech,3.821428571428571,3.0833333333333335,3.0600000000000005,1.4975,2.9983333333333335,3.22,Not Applicable,Minimal Enhancement Potential
17-2171.00,Petroleum Engineers,0.1626875557987501,High-Tech,3.5014285714285713,3.186666666666667,2.4675,1.4375,3.2516666666666665,2.69,Not Applicable,Minimal Enhancement Potential
