O*NET-SOC Code,Title,technical_composition,cognitive_skills,social_skills,operations_skills,maintenance_skills,management_skills,technical_skills,AI_Benefit_Classification,AI_Benefit_Score
19-2021.00,Atmospheric and Space Scientists,0.19628146020708942,3.4985714285714287,2.8966666666666665,1.435,1.0,2.563333333333333,2.7825,High AI Benefit,2.40600296786767
15-2011.00,Actuaries,0.17638093365126972,3.5357142857142856,2.8966666666666665,1.47,1.0,3.063333333333333,2.5625,High AI Benefit,2.402136839208015
13-1161.00,Market Research Analysts and Marketing Specialists,0.16949389423664857,3.447142857142857,2.9149999999999996,1.375,1.0,2.5816666666666666,2.31,High AI Benefit,2.4010976774473174
15-1243.00,Database Architects,0.18520752234223367,3.4299999999999997,2.8966666666666665,1.9375,1.37,2.75,2.8149999999999995,High AI Benefit,2.391559661531151
19-2041.03,Industrial Ecologists,0.18866428854538247,3.357142857142857,2.9150000000000005,1.5,1.03,2.895,2.72,High AI Benefit,2.3823607241945535
13-2031.00,Budget Analysts,0.16417099220045112,3.2142857142857144,2.706666666666667,1.25,1.0,2.813333333333333,2.1575,High AI Benefit,2.374794901273008
17-2199.03,"Energy Engineers, Except Wind and Solar",0.18140195768866435,3.609999999999999,3.0216666666666665,2.31,1.0625,2.9583333333333335,2.8725,High AI Benefit,2.368031851910325
11-9121.00,Natural Sciences Managers,0.18341293576753115,3.697142857142857,3.23,2.03,1.03,3.08,2.935,High AI Benefit,2.3634809894720736
15-1255.01,Video Game Designers,0.19367203688991175,3.355714285714286,2.9583333333333335,1.5925,1.06,2.7533333333333334,2.8149999999999995,High AI Benefit,2.359864033876596
17-2041.00,Chemical Engineers,0.19370456679767661,3.642857142857143,2.98,2.8125,1.28,3.0833333333333335,3.315,Moderate AI Benefit,2.3578469361728205
19-2099.01,Remote Sensing Scientists and Technologists,0.20728709595901584,3.518571428571428,2.813333333333333,2.095,1.125,2.7716666666666665,3.2225,High AI Benefit,2.355022692999413
15-1211.01,Health Informatics Specialists,0.16671959352175292,3.6957142857142857,3.186666666666667,2.2475,1.2825,3.02,2.6875,High AI Benefit,2.34965548208804
17-2199.09,Nanosystems Engineers,0.189497126045384,3.627142857142857,3.0,2.6875,1.935,2.918333333333333,3.3125,Moderate AI Benefit,2.344317322111225
19-3011.00,Economists,0.17599576551541615,3.4971428571428573,2.9166666666666665,1.1875,1.0,2.518333333333334,2.375,High AI Benefit,2.3397708935896713
15-1221.00,Computer and Information Research Scientists,0.20224915256703085,3.5342857142857147,2.8333333333333335,2.345,1.28,3.063333333333333,3.3100000000000005,High AI Benefit,2.33877679588937
15-2051.02,Clinical Data Managers,0.18157399092447926,3.3742857142857146,2.9166666666666665,1.9975,1.22,2.7516666666666665,2.72,High AI Benefit,2.3339970634737726
19-1029.04,Biologists,0.21076642335766424,3.3757142857142854,2.9350000000000005,2.03,1.0625,2.645,3.2175,High AI Benefit,2.3309860531803963
19-3099.01,Transportation Planners,0.16545714870116587,3.5714285714285716,3.0833333333333335,1.5,1.03,2.9583333333333335,2.4075,High AI Benefit,2.3289154966445573
19-3092.00,Geographers,0.18365207363206681,3.3371428571428576,2.9150000000000005,1.28,1.03,2.561666666666667,2.5025,High AI Benefit,2.326526305331282
17-1011.00,"Architects, Except Landscape and Naval",0.16183208400306448,3.731428571428572,3.145,2.2825,1.0625,3.063333333333333,2.565,High AI Benefit,2.3191861035345354
19-2041.00,"Environmental Scientists and Specialists, Including Health",0.18038201813621452,3.481428571428572,3.143333333333333,2.25,1.0,2.768333333333334,2.7825,High AI Benefit,2.304902539667227
19-1029.01,Bioinformatics Scientists,0.19193317497522377,3.4271428571428575,2.9599999999999995,1.905,1.125,2.813333333333333,2.905,High AI Benefit,2.3034684933656644
15-2051.01,Business Intelligence Analysts,0.1715058467902315,3.2514285714285713,2.856666666666667,1.5325,1.0,2.518333333333333,2.31,High AI Benefit,2.2963776066229533
19-1021.00,Biochemists and Biophysicists,0.1910493719164421,3.9271428571428575,2.936666666666667,2.4375,1.75,2.7099999999999995,3.25,High AI Benefit,2.2955418493265953
19-3022.00,Survey Researchers,0.18658038671905092,3.2857142857142856,2.936666666666667,1.4675,1.0,2.6233333333333335,2.595,High AI Benefit,2.29495992494525
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",0.15616242650695092,3.1242857142857146,2.98,1.22,1.0,2.645,2.03,High AI Benefit,2.294139921345757
13-1081.02,Logistics Analysts,0.1510854341736695,3.3200000000000003,2.9399999999999995,1.7175,1.0,3.145,2.1575,High AI Benefit,2.2931740196078434
15-1254.00,Web Developers,0.1883757258268114,3.392857142857143,2.856666666666667,2.185,1.3125,2.5,2.8425,High AI Benefit,2.271237659441459
17-2171.00,Petroleum Engineers,0.1626875557987501,3.5014285714285713,3.186666666666667,2.4675,1.4375,3.2516666666666665,2.69,High AI Benefit,2.267680254819435
15-1299.03,Document Management Specialists,0.15120104276581217,3.2300000000000004,2.938333333333333,1.4375,1.0,2.7900000000000005,2.03,High AI Benefit,2.264870316347009
17-2161.00,Nuclear Engineers,0.18212056532248833,3.821428571428571,3.0833333333333335,3.0600000000000005,1.4975,2.9983333333333335,3.22,Moderate AI Benefit,2.2616124548191854
15-2099.01,Bioinformatics Technicians,0.20650835532102024,3.16,2.731666666666667,1.7775,1.09,2.518333333333334,2.9350000000000005,High AI Benefit,2.2600292436235714
15-1243.01,Data Warehousing Specialists,0.19256318925395519,3.1614285714285715,2.788333333333334,2.095,1.185,2.563333333333333,2.8125,Moderate AI Benefit,2.2597866385793193
15-1251.00,Computer Programmers,0.22005988023952094,3.1957142857142857,2.6016666666666666,2.28,1.0625,2.706666666666667,3.3425,Moderate AI Benefit,2.2579298189335617
15-1299.08,Computer Systems Engineers/Architects,0.1766029167513473,3.5714285714285716,2.938333333333333,2.655,1.8425,2.98,3.0,Moderate AI Benefit,2.257384018153525
19-1042.00,"Medical Scientists, Except Epidemiologists",0.18324802162917508,3.697142857142857,3.0216666666666665,2.1575,1.155,2.7716666666666665,2.8725,High AI Benefit,2.254695456654494
33-3021.06,Intelligence Analysts,0.15672957617710442,3.2300000000000004,3.0,1.2175,1.0,2.313333333333333,2.0,High AI Benefit,2.2534701832865323
17-2081.00,Environmental Engineers,0.1641907740422205,3.5728571428571425,3.105,2.215,1.0,2.8333333333333335,2.5,High AI Benefit,2.250298661528724
19-1029.02,Molecular and Cellular Biologists,0.18700254022015236,3.821428571428571,3.143333333333334,2.595,1.22,2.936666666666667,3.155,Moderate AI Benefit,2.2491160336276765
17-2021.00,Agricultural Engineers,0.17926019601644008,3.4314285714285715,2.936666666666667,2.59,1.66,2.98,2.97,Moderate AI Benefit,2.246601162248017
17-2199.10,Wind Energy Engineers,0.18527813286696834,3.2857142857142856,2.895,2.3425,1.0925,2.7516666666666665,2.8125,High AI Benefit,2.234110369796294
19-3094.00,Political Scientists,0.16144913576282977,3.462857142857143,3.1466666666666665,1.19,1.0,2.393333333333334,2.155,High AI Benefit,2.23303626088419
15-1299.09,Information Technology Project Managers,0.15133592776607036,3.357142857142857,3.375,1.8425,1.0,3.561666666666667,2.3425,High AI Benefit,2.229919794800294
19-1011.00,Animal Scientists,0.17878015771606573,3.661428571428571,3.0400000000000005,2.2525,1.06,2.9166666666666665,2.815,High AI Benefit,2.2229210281967067
17-2131.00,Materials Engineers,0.18626322305971285,3.3742857142857146,3.0400000000000005,2.655,1.5,2.8100000000000005,3.0625,Moderate AI Benefit,2.2223677092804244
13-1051.00,Cost Estimators,0.15641554378355318,3.197142857142857,2.956666666666667,1.22,1.03,2.895,2.095,High AI Benefit,2.221823450861484
19-3041.00,Sociologists,0.16939128638206657,3.5714285714285716,3.2083333333333335,1.125,1.0,2.5816666666666666,2.3425,High AI Benefit,2.2159349785277094
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",0.18761726078799248,3.41,2.8733333333333335,1.875,1.1875,2.561666666666667,2.75,High AI Benefit,2.215160412757974
19-2041.02,Environmental Restoration Planners,0.17503978176858379,3.555714285714285,3.125,2.185,1.095,3.0,2.75,High AI Benefit,2.2148178076186147
17-2121.00,Marine Engineers and Naval Architects,0.18006464085951682,3.481428571428572,3.0216666666666665,2.6525,1.2175,2.855,2.905,Moderate AI Benefit,2.2126667191987854
29-1299.02,Orthoptists,0.17919923541659555,3.3042857142857143,3.0849999999999995,1.5625,1.0625,2.436666666666667,2.5,High AI Benefit,2.2011020858628463
13-1161.01,Search Marketing Strategists,0.1625202376815034,3.358571428571428,3.1033333333333335,1.53,1.0,2.77,2.2825,High AI Benefit,2.201005355694786
17-2111.02,Fire-Prevention and Protection Engineers,0.16720301415234196,3.552857142857143,3.0,2.75,1.22,3.186666666666667,2.7525,Moderate AI Benefit,2.198633168580816
17-2141.00,Mechanical Engineers,0.1853284998574396,3.5014285714285713,2.8349999999999995,2.9675,2.0625,2.92,3.25,Moderate AI Benefit,2.1970068923581816
17-2199.06,Microsystems Engineers,0.17294863700002747,3.552857142857143,3.0,2.8725,1.8775,3.043333333333333,3.0,Moderate AI Benefit,2.1904511818810484
29-1229.05,Preventive Medicine Physicians,0.15723793677204656,3.928571428571429,3.686666666666667,1.6875,1.0,3.0833333333333335,2.4975,Moderate AI Benefit,2.189517302511687
29-9092.00,Genetic Counselors,0.16752609734624577,3.1799999999999997,3.186666666666667,1.25,1.0,2.4149999999999996,2.22,High AI Benefit,2.181674674045193
17-2071.00,Electrical Engineers,0.16506054047730467,3.518571428571428,2.938333333333333,2.5025,1.78,2.855,2.6875,Moderate AI Benefit,2.17764641548009
29-1223.00,Psychiatrists,0.15711516833768038,3.892857142857143,3.7516666666666665,1.3125,1.0,2.6233333333333335,2.345,Moderate AI Benefit,2.168034041562834
19-3091.00,Anthropologists and Archeologists,0.16074709124311082,3.34,2.956666666666667,1.4675,1.03,2.6266666666666665,2.1875,High AI Benefit,2.1586564860175548
11-9121.02,Water Resource Specialists,0.16114343536554512,3.447142857142857,3.061666666666667,2.5,1.0,3.018333333333334,2.5025,Moderate AI Benefit,2.1579127380651224
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,0.15704137316695238,3.6242857142857146,3.2916666666666665,2.2175,1.0625,3.2099999999999995,2.4975,High AI Benefit,2.157091234655762
17-2061.00,Computer Hardware Engineers,0.1708317063647013,3.518571428571428,2.7266666666666666,2.5625,2.155,2.688333333333333,2.8125,Moderate AI Benefit,2.1546788294193115
29-1222.00,"Physicians, Pathologists",0.1720996831586644,3.5171428571428573,3.061666666666667,2.25,1.155,2.956666666666667,2.69,High AI Benefit,2.1545512720077067
11-9041.00,Architectural and Engineering Managers,0.16112531969309463,3.574285714285714,3.331666666666667,2.25,1.03,3.168333333333333,2.565,High AI Benefit,2.1509267141639263
41-9031.00,Sales Engineers,0.15589310187300137,3.4657142857142853,3.7516666666666665,1.7825,1.22,2.9783333333333335,2.4375,Moderate AI Benefit,2.150846094650743
15-1241.00,Computer Network Architects,0.17091859004922336,3.4285714285714284,3.0833333333333335,2.9375,2.185,3.063333333333333,3.03,Moderate AI Benefit,2.145441255648472
17-2199.05,Mechatronics Engineers,0.18207180719788826,3.4642857142857144,2.855,2.8425,1.72,2.73,3.03,Moderate AI Benefit,2.1438227537640375
29-1229.01,Allergists and Immunologists,0.16666798810703667,3.605714285714286,3.3333333333333335,1.625,1.095,2.8533333333333335,2.5025,High AI Benefit,2.143308196469867
19-3051.00,Urban and Regional Planners,0.15454322200392928,3.462857142857143,3.27,1.4375,1.0,3.125,2.2475,High AI Benefit,2.1374905627280385
17-2112.03,Manufacturing Engineers,0.16503409409347075,3.661428571428571,3.0400000000000005,3.3125,2.655,3.293333333333333,3.155,Moderate AI Benefit,2.1331431388509574
17-2141.01,Fuel Cell Engineers,0.18099989081181417,3.4614285714285713,2.811666666666667,2.9975,2.185,2.831666666666667,3.1575,Moderate AI Benefit,2.1301484273651594
29-1131.00,Veterinarians,0.16798408048200766,3.5199999999999996,3.0849999999999995,2.0325,1.2175,2.688333333333333,2.5325,High AI Benefit,2.1299859483536934
43-9111.00,Statistical Assistants,0.21136140518453664,3.142857142857143,2.793333333333333,1.4075,1.0,2.2716666666666665,2.845,High AI Benefit,2.1239792038601637
17-2112.00,Industrial Engineers,0.16112312076250368,3.268571428571428,2.811666666666667,2.22,1.0625,2.8333333333333335,2.3425,High AI Benefit,2.12369877981162
17-2199.08,Robotics Engineers,0.1711646904624013,3.7171428571428566,2.9399999999999995,3.4350000000000005,2.97,3.1233333333333335,3.3425,Moderate AI Benefit,2.120903797570785
17-2199.11,Solar Energy Systems Engineers,0.17516787577192877,3.341428571428571,2.9166666666666665,2.5325,1.75,2.561666666666667,2.7825,Moderate AI Benefit,2.11423637472556
29-1081.00,Podiatrists,0.16216772501696156,3.6257142857142854,3.1683333333333334,2.1875,1.3125,2.7900000000000005,2.5325,High AI Benefit,2.114057275654604
19-1013.00,Soil and Plant Scientists,0.17915256967939425,3.59,2.938333333333333,2.4375,1.0,2.7716666666666665,2.78,High AI Benefit,2.1115339938778797
17-2199.07,Photonics Engineers,0.18629270350063265,3.3757142857142854,2.7283333333333335,2.8775,2.2175,2.581666666666667,3.155,Moderate AI Benefit,2.1087030336807855
17-2072.00,"Electronics Engineers, Except Computer",0.17118501956400223,3.5,2.8983333333333334,3.0,2.5325,2.8966666666666665,3.0625,Moderate AI Benefit,2.107772568474008
13-2041.00,Credit Analysts,0.1502472127968977,3.0714285714285716,2.5833333333333335,1.405,1.0,2.375,1.845,Moderate AI Benefit,2.1031390543129516
19-1022.00,Microbiologists,0.181951057802423,3.6242857142857146,2.8733333333333335,2.5325,1.1875,2.7083333333333335,2.875,Moderate AI Benefit,2.0997334642132426
11-3031.01,Treasurers and Controllers,0.1414349467902506,3.640000000000001,3.0416666666666665,1.47,1.0,3.3533333333333335,2.06,High AI Benefit,2.0957723137658775
17-2112.02,Validation Engineers,0.17299287042777434,3.4285714285714284,2.875,2.6225,1.155,2.6233333333333335,2.6575,Moderate AI Benefit,2.092909570306734
19-1029.03,Geneticists,0.18367073733061626,3.678571428571429,3.2483333333333335,2.28,1.03,2.8300000000000005,2.94,High AI Benefit,2.0854904378000145
19-2032.00,Materials Scientists,0.18089460437433535,3.515714285714286,2.895,2.4075,1.285,2.643333333333334,2.815,High AI Benefit,2.085476353405412
29-2036.00,Medical Dosimetrists,0.17830173046421893,3.354285714285715,3.0216666666666665,2.25,1.0625,2.7083333333333335,2.69,High AI Benefit,2.0838774851961954
29-1031.00,Dietitians and Nutritionists,0.15575909260344,3.75,3.6466666666666665,1.815,1.0,3.0,2.4375,Moderate AI Benefit,2.0817818241120403
29-1071.00,Physician Assistants,0.16781246391316063,3.642857142857143,3.456666666666667,1.9075,1.03,2.831666666666667,2.595,High AI Benefit,2.0813912427436816
19-3039.03,Clinical Neuropsychologists,0.15384486429397662,3.5342857142857147,3.5216666666666665,1.315,1.0,2.6466666666666665,2.185,High AI Benefit,2.0813617869336802
15-1211.00,Computer Systems Analysts,0.16835149662212143,3.41,2.895,2.905,1.9075,2.936666666666667,2.845,Moderate AI Benefit,2.0790635715107584
19-3039.02,Neuropsychologists,0.16803719400341577,3.642857142857143,3.436666666666667,1.78,1.0,2.6666666666666665,2.53,High AI Benefit,2.0776777980595744
29-1217.00,Neurologists,0.16516673054810269,3.641428571428572,3.52,1.875,1.095,2.8333333333333335,2.565,High AI Benefit,2.074357366442169
29-1221.00,"Pediatricians, General",0.15392264573092007,3.8042857142857143,3.481666666666666,1.6275,1.0,2.6466666666666665,2.285,High AI Benefit,2.0736340219629823
11-9199.01,Regulatory Affairs Managers,0.14751630707476165,3.4642857142857144,3.1466666666666665,1.2825,1.0,3.0400000000000005,2.065,High AI Benefit,2.0727118366664277
11-3021.00,Computer and Information Systems Managers,0.15142252527627556,3.6257142857142854,3.248333333333333,2.5325,1.44,3.331666666666667,2.53,Moderate AI Benefit,2.0724907432288693
19-2043.00,Hydrologists,0.1762842756522895,3.392857142857143,2.98,2.3125,1.97,2.6266666666666665,2.8425,High AI Benefit,2.072167583830632
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,0.1615912534537568,3.231428571428572,2.981666666666666,2.5925,1.7175,2.9150000000000005,2.59,Moderate AI Benefit,2.066259863278625
19-4061.00,Social Science Research Assistants,0.1931439630736557,3.0357142857142856,2.606666666666667,1.9975,1.095,2.481666666666667,2.685,Moderate AI Benefit,2.0650991088530333
19-5011.00,Occupational Health and Safety Specialists,0.15036252343414722,3.4642857142857144,3.1666666666666665,2.53,1.44,2.8333333333333335,2.3775,Moderate AI Benefit,2.064965260590944
29-1011.00,Chiropractors,0.15992055107129274,3.214285714285715,3.145,1.785,1.0,2.688333333333333,2.2525,High AI Benefit,2.06058502398762
15-1242.00,Database Administrators,0.17875309511189869,3.4828571428571427,2.73,2.3125,1.25,2.5833333333333335,2.69,High AI Benefit,2.0592667852725977
11-9121.01,Clinical Research Coordinators,0.15956542749071032,3.2471428571428578,3.25,1.5,1.03,2.981666666666667,2.28,High AI Benefit,2.058598043836534
15-1253.00,Software Quality Assurance Analysts and Testers,0.18924873150998286,3.302857142857143,2.6033333333333335,2.785,1.4675,2.4150000000000005,2.935,Low AI Benefit,2.0560015126658926
17-3026.00,Industrial Engineering Technologists and Technicians,0.17380323903270223,3.2857142857142856,2.813333333333334,2.2175,1.905,2.7083333333333335,2.72,High AI Benefit,2.0548232413763627
29-1216.00,General Internal Medicine Physicians,0.16663354075251885,3.661428571428571,3.3733333333333335,1.9375,1.2775,2.7283333333333335,2.595,High AI Benefit,2.0522412021576257
13-2011.00,Accountants and Auditors,0.1541987450491745,3.0714285714285716,3.02,1.5025,1.0925,2.6266666666666665,2.0625,High AI Benefit,2.042511083862587
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.15478657774408686,3.231428571428572,3.1033333333333335,2.3725,1.0,2.77,2.285,Moderate AI Benefit,2.0397768316281137
29-1218.00,Obstetricians and Gynecologists,0.1527644665105975,3.7857142857142856,3.396666666666667,1.845,1.0,2.811666666666667,2.315,High AI Benefit,2.0371875375489963
19-1031.00,Conservation Scientists,0.17212299237219877,3.1614285714285715,3.081666666666667,2.22,1.185,2.8333333333333335,2.595,High AI Benefit,2.036787616159839
29-1229.02,Hospitalists,0.1586165772212284,3.6757142857142857,3.5833333333333335,1.6875,1.03,2.6216666666666666,2.375,High AI Benefit,2.0359199250362043
17-3011.00,Architectural and Civil Drafters,0.17603307787351913,3.1257142857142854,2.936666666666667,2.095,1.3425,2.6466666666666665,2.595,High AI Benefit,2.034461010652555
29-1215.00,Family Medicine Physicians,0.15405444494439804,3.732857142857142,3.356666666666666,1.715,1.0625,2.6666666666666665,2.2825,High AI Benefit,2.033613176353012
29-1213.00,Dermatologists,0.1657758832691204,3.3742857142857146,3.4583333333333335,1.595,1.0625,2.625,2.4075,High AI Benefit,2.03141202001335
27-1021.00,Commercial and Industrial Designers,0.17347353327757198,3.2671428571428573,2.978333333333333,2.22,1.22,2.6666666666666665,2.5925,High AI Benefit,2.029068080757216
29-1171.00,Nurse Practitioners,0.15740003186235463,3.82,3.5,1.9975,1.155,2.75,2.47,High AI Benefit,2.0271501115182415
19-1023.00,Zoologists and Wildlife Biologists,0.1757855348015839,3.4285714285714284,3.206666666666667,2.1225,1.0,2.855,2.69,High AI Benefit,2.0101422289484008
11-3111.00,Compensation and Benefits Managers,0.1315096181254373,3.431428571428571,3.143333333333334,1.25,1.0,3.145,1.8125,High AI Benefit,2.00118247296284
13-2072.00,Loan Officers,0.15117877645048025,3.0542857142857143,2.9616666666666664,1.4075,1.0,2.455,1.9375,High AI Benefit,2.000155479481443
11-3031.03,Investment Fund Managers,0.14593581635043337,3.394285714285714,3.02,1.345,1.0,2.9599999999999995,2.0025,High AI Benefit,1.9992217857979455
29-1299.01,Naturopathic Physicians,0.1584168115800044,3.484285714285714,3.3533333333333335,1.7175,1.03,2.686666666666667,2.31,High AI Benefit,1.9941136024347772
29-1051.00,Pharmacists,0.1588613193054327,3.4985714285714287,3.293333333333333,2.03,1.0625,3.0216666666666665,2.4375,High AI Benefit,1.991615808045205
17-3022.00,Civil Engineering Technologists and Technicians,0.18105477337977532,3.0171428571428573,2.668333333333333,2.0925,1.03,2.5,2.5,Moderate AI Benefit,1.9686440877815947
11-9111.00,Medical and Health Services Managers,0.14135599880656968,3.838571428571429,3.8783333333333334,1.685,1.0,3.645,2.3125,Moderate AI Benefit,1.9680138529658513
17-1022.01,Geodetic Surveyors,0.18274845968390035,3.27,2.625,2.5649999999999995,1.69,2.561666666666667,2.8425,Low AI Benefit,1.9575779422269848
17-3013.00,Mechanical Drafters,0.17660135449516623,3.0714285714285716,2.668333333333333,2.0925,1.0625,2.481666666666667,2.44,Moderate AI Benefit,1.9539618835902248
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.14443521957614158,3.212857142857143,3.1483333333333334,1.31,1.09,2.893333333333333,1.9675,High AI Benefit,1.9469458875641148
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",0.18996483502037598,3.5728571428571425,3.1466666666666665,1.3725,1.0,2.645,2.7525,High AI Benefit,1.9455495416189346
17-2072.01,Radio Frequency Identification Device Specialists,0.1531440700451048,3.16,2.875,2.5325,2.125,2.606666666666666,2.405,Low AI Benefit,1.9420875784912
13-1041.07,Regulatory Affairs Specialists,0.14597530358149308,3.3757142857142854,3.1033333333333335,1.53,1.0,2.8966666666666665,2.035,High AI Benefit,1.9355921339637971
13-1041.06,Coroners,0.15905287246396613,3.1785714285714284,3.1216666666666666,1.905,1.1875,2.3316666666666666,2.2175,Moderate AI Benefit,1.934869577433405
29-1211.00,Anesthesiologists,0.15041254246760696,3.7471428571428578,3.186666666666667,2.8100000000000005,1.095,2.9150000000000005,2.435,Moderate AI Benefit,1.927812946255672
19-1012.00,Food Scientists and Technologists,0.1617063874023024,3.484285714285714,3.02,2.5925,1.155,2.7083333333333335,2.5,Moderate AI Benefit,1.9269604511461538
29-1229.04,Physical Medicine and Rehabilitation Physicians,0.16053729079781184,3.48,3.476666666666667,2.125,1.0625,2.7716666666666665,2.47,High AI Benefit,1.9192138511256749
11-3051.03,Biofuels Production Managers,0.1534885760645529,3.322857142857143,3.27,2.7475,1.2175,3.23,2.5,Moderate AI Benefit,1.9146743019402208
25-1066.00,"Psychology Teachers, Postsecondary",0.17462882537117463,3.644285714285714,3.185,1.22,1.0,2.625,2.47,High AI Benefit,1.9110223173705398
15-1299.01,Web Administrators,0.16129388385957166,3.34,2.793333333333333,2.4375,1.4025,2.688333333333333,2.435,High AI Benefit,1.910861926841834
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",0.13436278592939066,3.5,3.1466666666666665,1.155,1.0,2.456666666666667,1.7475,High AI Benefit,1.909561417419534
15-1299.02,Geographic Information Systems Technologists and Technicians,0.19051466874799136,2.9457142857142857,2.645,1.53,1.0625,2.311666666666667,2.47,Moderate AI Benefit,1.9093132453798747
13-1111.00,Management Analysts,0.14866426971308308,3.607142857142857,3.48,1.5325,1.03,3.063333333333333,2.22,High AI Benefit,1.9080273249481718
13-1041.08,Customs Brokers,0.14487603754136605,3.141428571428572,3.0216666666666665,1.2825,1.0,2.813333333333333,1.9075,High AI Benefit,1.907548274251924
25-4012.00,Curators,0.14554507034099462,3.34,3.0416666666666665,1.7525,1.06,3.105,2.095,High AI Benefit,1.9059910795268145
19-2031.00,Chemists,0.17517603103894236,3.355714285714286,2.686666666666667,2.845,2.0925,2.686666666666667,2.9025,Moderate AI Benefit,1.9055863467315366
25-1064.00,"Geography Teachers, Postsecondary",0.17517967145790553,3.4842857142857144,3.1666666666666665,1.1575,1.0,2.668333333333333,2.4375,High AI Benefit,1.894575278674098
29-1041.00,Optometrists,0.17330433280462335,3.212857142857142,3.3349999999999995,2.2175,1.0,2.768333333333334,2.6275,Moderate AI Benefit,1.8923211171971344
29-1141.02,Advanced Practice Psychiatric Nurses,0.14960844945986104,3.5728571428571425,3.790000000000001,1.345,1.0,2.8966666666666665,2.2175,Moderate AI Benefit,1.8818021921571326
11-1011.03,Chief Sustainability Officers,0.14245446660884648,3.68,3.5216666666666665,1.72,1.03,3.231666666666667,2.19,High AI Benefit,1.874173966464296
25-1022.00,"Mathematical Science Teachers, Postsecondary",0.18404424072986686,3.482857142857143,3.02,1.1875,1.0,2.393333333333334,2.5,High AI Benefit,1.8632857949354864
