O*NET-SOC Code,Title,basic_skills,cognitive_skills,social_skills,operations_skills,maintenance_skills,technical_skills,management_skills,automation_risk_score,automation_risk
11-3131.00,Training and Development Managers,3.9699999999999998,3.6957142857142857,3.6666666666666665,1.4375,1.0,1.9075,3.311666666666667,36.8,26.5
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",3.625,3.251428571428572,3.1466666666666665,2.7800000000000002,2.065,2.315,3.1466666666666665,55.6,45.6
11-9021.00,Construction Managers,3.6899999999999995,3.5357142857142856,3.3333333333333335,2.4699999999999998,1.0,2.0625,3.4150000000000005,44.7,34.7
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",3.9375,3.537142857142857,3.773333333333333,1.7825,1.0,1.875,3.33,31.2,20.2
11-9032.00,"Education Administrators, Kindergarten through Secondary",4.2825,3.8214285714285716,3.8349999999999995,1.8425,1.03,2.0925000000000002,3.606666666666667,30.5,19.4
11-9033.00,"Education Administrators, Postsecondary",4.03,3.59,3.685,1.345,1.0,1.845,3.375,29.4,18.1
11-9041.00,Architectural and Engineering Managers,4.03,3.574285714285714,3.331666666666667,2.25,1.03,2.565,3.168333333333333,43.1,33.1
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,3.59,3.2314285714285718,2.981666666666666,2.5925000000000002,1.7175,2.59,2.9150000000000005,52.7,42.7
11-9051.00,Food Service Managers,3.5300000000000002,3.2314285714285718,3.435,2.2800000000000002,1.53,1.845,3.125,48.3,38.3
11-9071.00,Gambling Managers,3.6875,3.447142857142857,3.5833333333333335,1.9675,1.0,1.9975,3.2266666666666666,41.3,31.2
11-9081.00,Lodging Managers,3.9699999999999998,3.4114285714285715,3.8966666666666665,2.25,1.285,1.78,3.355,44.0,33.9
11-9111.00,Medical and Health Services Managers,4.03,3.8385714285714285,3.8783333333333334,1.685,1.0,2.3125,3.645,36.4,26.1
11-9121.00,Natural Sciences Managers,3.9399999999999995,3.697142857142857,3.23,2.0300000000000002,1.03,2.935,3.08,41.6,31.5
11-9121.01,Clinical Research Coordinators,3.9699999999999998,3.2471428571428578,3.25,1.5,1.03,2.2800000000000002,2.981666666666667,39.7,29.6
11-9121.02,Water Resource Specialists,4.0,3.447142857142857,3.061666666666667,2.5,1.0,2.5025,3.018333333333334,46.1,36.1
11-9131.00,Postmasters and Mail Superintendents,3.8125,3.2857142857142856,3.5833333333333335,2.0925000000000002,1.0,1.97,3.2099999999999995,42.4,32.3
11-9141.00,"Property, Real Estate, and Community Association Managers",3.8125,2.961428571428572,3.2283333333333335,1.7175,1.03,1.7825,2.706666666666667,43.0,32.9
11-9151.00,Social and Community Service Managers,3.7824999999999998,3.6628571428571424,3.6466666666666665,1.905,1.0,2.125,3.3766666666666665,39.7,29.6
11-9161.00,Emergency Management Directors,4.03,3.8385714285714285,3.8333333333333335,1.905,1.0,1.97,3.2900000000000005,39.1,28.9
11-9171.00,Funeral Home Managers,3.5300000000000002,2.967142857142857,3.4166666666666665,1.9975,1.03,1.81,2.893333333333334,44.1,34.1
11-9179.01,Fitness and Wellness Coordinators,3.6875,3.1614285714285715,3.438333333333333,1.8425,1.375,1.8125,3.0816666666666666,44.4,34.4
11-9179.02,Spa Managers,3.5625,3.358571428571429,3.7099999999999995,2.2800000000000002,1.095,1.8125,3.3966666666666665,43.7,33.7
11-9199.01,Regulatory Affairs Managers,4.0925,3.4642857142857144,3.1466666666666665,1.2825,1.0,2.065,3.0400000000000005,38.0,27.8
11-9199.02,Compliance Managers,3.91,3.3214285714285716,3.395,1.7175,1.03,1.75,2.645,41.9,31.9
11-9199.08,Loss Prevention Managers,3.9375,3.538571428571428,3.6650000000000005,2.2800000000000002,1.0,1.78,3.25,42.9,32.9
11-9199.09,Wind Energy Operations Managers,3.8774999999999995,3.234285714285714,3.3516666666666666,2.875,1.875,2.2199999999999998,3.1266666666666665,54.3,44.3
11-9199.10,Wind Energy Development Managers,3.8475,3.2328571428571427,3.2516666666666665,2.0949999999999998,1.1225,2.0625,3.1466666666666665,44.3,34.3
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,3.94,3.6242857142857146,3.2916666666666665,2.2175000000000002,1.0625,2.4975,3.2099999999999995,43.2,33.1
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",3.9050000000000002,3.0,3.5849999999999995,1.125,1.0,1.655,2.5016666666666665,38.3,28.1
13-1021.00,"Buyers and Purchasing Agents, Farm Products",3.5324999999999998,3.0185714285714282,3.0833333333333335,2.0,1.03,1.9675,2.895,44.8,34.8
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",3.4375,3.1257142857142854,3.3733333333333335,1.595,1.0,2.06,2.9166666666666665,40.8,30.7
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",3.8774999999999995,3.4828571428571427,3.436666666666667,1.5925,1.0,1.6875,3.1650000000000005,39.5,29.3
13-1031.00,"Claims Adjusters, Examiners, and Investigators",3.9050000000000002,3.1257142857142854,3.0416666666666665,1.81,1.03,2.0324999999999998,2.5833333333333335,43.8,33.8
13-1032.00,"Insurance Appraisers, Auto Damage",3.625,2.6799999999999997,2.815,2.2199999999999998,1.405,1.5925,2.315,52.0,42.0
13-1041.00,Compliance Officers,3.8449999999999998,2.9828571428571427,3.1650000000000005,1.935,1.0,1.53,2.5216666666666665,45.1,35.1
13-1041.01,Environmental Compliance Inspectors,3.91,3.447142857142857,2.9599999999999995,2.8125,1.03,2.3425000000000002,2.581666666666667,49.9,39.9
13-1041.03,Equal Opportunity Representatives and Officers,4.0625,3.357142857142857,3.2283333333333335,1.405,1.03,1.9375,2.418333333333333,40.5,30.3
13-1041.04,Government Property Inspectors and Investigators,4.03,3.3042857142857143,3.1666666666666665,2.5625,1.0,2.0324999999999998,2.77,47.5,37.5
13-1041.06,Coroners,3.9050000000000002,3.1785714285714284,3.1216666666666666,1.905,1.1875,2.2175000000000002,2.3316666666666666,45.5,35.5
13-1041.07,Regulatory Affairs Specialists,3.9699999999999998,3.3757142857142854,3.1033333333333335,1.53,1.0,2.035,2.8966666666666665,40.3,30.2
13-1041.08,Customs Brokers,3.8449999999999998,3.141428571428572,3.0216666666666665,1.2825,1.0,1.9075,2.813333333333333,39.8,29.6
13-1051.00,Cost Estimators,3.7824999999999998,3.197142857142857,2.956666666666667,1.22,1.03,2.0949999999999998,2.895,39.3,29.1
13-1071.00,Human Resources Specialists,4.0,2.9642857142857144,3.1266666666666665,1.3425,1.0,1.6225,2.483333333333333,41.1,31.0
13-1074.00,Farm Labor Contractors,3.0949999999999998,2.4828571428571427,2.768333333333334,2.0949999999999998,1.03,1.4375,2.355,49.5,39.5
13-1075.00,Labor Relations Specialists,4.1575,3.2671428571428573,3.5849999999999995,1.185,1.0,1.5025,2.7083333333333335,37.7,27.5
13-1081.00,Logisticians,3.755,3.552857142857143,3.395,1.5925,1.0,2.0949999999999998,3.1466666666666665,39.1,29.0
13-1081.01,Logistics Engineers,3.9675000000000002,3.608571428571428,3.0833333333333335,2.3125,1.3775,2.9375,3.395,45.7,35.7
13-1081.02,Logistics Analysts,3.7525,3.3200000000000003,2.9399999999999995,1.7175,1.0,2.1574999999999998,3.145,41.6,31.6
13-1111.00,Management Analysts,4.0600000000000005,3.607142857142857,3.48,1.5325,1.03,2.2199999999999998,3.063333333333333,30.8,19.8
13-1121.00,"Meeting, Convention, and Event Planners",3.875,3.3042857142857147,3.5866666666666664,2.0,1.53,1.72,3.2083333333333335,45.5,35.5
13-1131.00,Fundraisers,4.03,3.108571428571428,3.625,1.435,1.03,1.9075,2.8516666666666666,39.1,28.9
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",3.755,3.1242857142857146,2.98,1.22,1.0,2.0300000000000002,2.645,39.8,29.7
13-1151.00,Training and Development Specialists,4.035,3.7157142857142853,3.6650000000000005,1.5,1.03,1.845,2.956666666666667,38.2,27.9
13-1161.00,Market Research Analysts and Marketing Specialists,3.9399999999999995,3.447142857142857,2.9149999999999996,1.375,1.0,2.31,2.5816666666666666,40.1,30.0
13-1161.01,Search Marketing Strategists,3.6875,3.358571428571428,3.1033333333333335,1.53,1.0,2.2824999999999998,2.77,40.6,30.5
13-1199.04,Business Continuity Planners,3.8775,3.5714285714285716,3.2900000000000005,1.75,1.0625,1.9375,3.23,40.8,30.7
13-1199.05,Sustainability Specialists,3.9699999999999998,3.3200000000000003,3.061666666666667,1.81,1.06,2.0949999999999998,2.688333333333333,43.2,33.2
13-1199.06,Online Merchants,3.5,2.8757142857142854,3.0416666666666665,1.4675,1.155,2.0949999999999998,2.7283333333333335,42.7,32.6
13-2011.00,Accountants and Auditors,3.7199999999999998,3.0714285714285716,3.02,1.5025,1.0925,2.0625,2.6266666666666665,42.3,32.3
13-2023.00,Appraisers and Assessors of Real Estate,3.5949999999999998,2.857142857142857,2.8533333333333335,1.965,1.0,1.875,2.2966666666666664,46.7,36.7
13-2031.00,Budget Analysts,3.5925000000000002,3.2142857142857144,2.706666666666667,1.25,1.0,2.1574999999999998,2.813333333333333,40.2,30.1
13-2041.00,Credit Analysts,3.465,3.0714285714285716,2.5833333333333335,1.405,1.0,1.845,2.375,43.3,33.3
13-2052.00,Personal Financial Advisors,4.03,3.265714285714286,3.27,1.3425,1.0,2.0300000000000002,2.7733333333333334,39.1,28.9
13-2053.00,Insurance Underwriters,3.7175000000000002,3.0171428571428573,2.8966666666666665,1.25,1.0,1.845,2.4599999999999995,41.1,31.0
13-2061.00,Financial Examiners,4.03,3.6628571428571424,3.23,1.5,1.0,1.9675,2.935,39.2,29.0
13-2071.00,Credit Counselors,3.8775,3.1957142857142857,3.2283333333333335,1.0625,1.0,1.8425,2.3100000000000005,38.8,28.6
13-2072.00,Loan Officers,3.815,3.0542857142857143,2.9616666666666664,1.4075,1.0,1.9375,2.455,41.7,31.6
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",3.8125,3.0185714285714282,2.9399999999999995,1.5325,1.03,1.8425,2.2916666666666665,43.3,33.3
13-2082.00,Tax Preparers,3.5324999999999998,2.872857142857143,2.77,1.315,1.0,1.81,2.125,43.0,33.0
13-2099.01,Financial Quantitative Analysts,3.75,3.357142857142857,2.98,1.4975,1.0,2.6899999999999995,2.8333333333333335,40.1,30.0
13-2099.04,"Fraud Examiners, Investigators and Analysts",4.0600000000000005,3.2685714285714282,3.2283333333333335,1.345,1.0,1.7825,2.5816666666666666,39.8,29.7
15-1211.00,Computer Systems Analysts,3.7525,3.41,2.895,2.9050000000000002,1.9075,2.8449999999999998,2.936666666666667,55.6,45.6
15-1211.01,Health Informatics Specialists,4.095,3.6957142857142857,3.186666666666667,2.2475,1.2825,2.6875,3.02,45.2,35.1
15-1212.00,Information Security Analysts,3.7175000000000002,3.2885714285714287,2.7916666666666665,2.4675000000000002,1.6225,2.2175000000000002,2.6466666666666665,52.6,42.6
15-1221.00,Computer and Information Research Scientists,3.5949999999999998,3.5342857142857147,2.8333333333333335,2.3449999999999998,1.28,3.3100000000000005,3.063333333333333,46.7,36.7
15-1231.00,Computer Network Support Specialists,3.2824999999999998,3.0542857142857143,2.5416666666666665,2.75,2.6875,2.0925000000000002,2.4783333333333335,63.5,53.9
15-1232.00,Computer User Support Specialists,3.875,3.1942857142857144,2.8533333333333335,2.94,2.0925000000000002,2.0625,2.4599999999999995,59.4,49.5
15-1241.00,Computer Network Architects,3.7175000000000002,3.4285714285714284,3.0833333333333335,2.9375,2.185,3.0300000000000002,3.063333333333333,56.7,46.7
15-1241.01,Telecommunications Engineering Specialists,3.435,3.0700000000000003,2.936666666666667,2.7800000000000002,2.4675000000000002,2.4699999999999998,2.7483333333333335,60.1,50.2
15-1242.00,Database Administrators,3.5324999999999998,3.4828571428571427,2.73,2.3125,1.25,2.69,2.5833333333333335,48.5,38.5
15-1243.00,Database Architects,3.5,3.4299999999999997,2.8966666666666665,1.9375,1.37,2.8149999999999995,2.75,45.9,35.9
15-1243.01,Data Warehousing Specialists,3.5024999999999995,3.1614285714285715,2.788333333333334,2.0949999999999998,1.185,2.8125,2.563333333333333,47.0,36.9
15-1244.00,Network and Computer Systems Administrators,3.5324999999999998,3.4642857142857144,2.855,3.3449999999999998,2.815,2.9050000000000002,3.0833333333333335,64.3,54.7
15-1251.00,Computer Programmers,3.375,3.1957142857142857,2.6016666666666666,2.2800000000000002,1.0625,3.3425000000000002,2.706666666666667,47.1,37.1
15-1253.00,Software Quality Assurance Analysts and Testers,3.8774999999999995,3.302857142857143,2.6033333333333335,2.785,1.4675,2.935,2.4150000000000005,53.8,43.8
15-1254.00,Web Developers,3.3725,3.392857142857143,2.856666666666667,2.185,1.3125,2.8425000000000002,2.5,48.0,38.0
15-1255.01,Video Game Designers,3.5,3.355714285714286,2.9583333333333335,1.5925,1.06,2.8149999999999995,2.7533333333333334,41.4,31.3
15-1299.01,Web Administrators,3.5324999999999998,3.34,2.793333333333333,2.4375,1.4025,2.435,2.688333333333333,50.6,40.6
15-1299.02,Geographic Information Systems Technologists and Technicians,3.5,2.9457142857142857,2.645,1.53,1.0625,2.4699999999999998,2.311666666666667,44.0,34.0
15-1299.03,Document Management Specialists,3.625,3.2300000000000004,2.938333333333333,1.4375,1.0,2.0300000000000002,2.7900000000000005,41.0,30.9
15-1299.08,Computer Systems Engineers/Architects,3.9399999999999995,3.5714285714285716,2.938333333333333,2.6550000000000002,1.8425,3.0,2.98,52.6,42.6
15-1299.09,Information Technology Project Managers,3.9699999999999998,3.357142857142857,3.375,1.8425,1.0,2.3425000000000002,3.561666666666667,39.9,29.7
15-2011.00,Actuaries,3.9074999999999998,3.5357142857142856,2.8966666666666665,1.47,1.0,2.5625,3.063333333333333,39.4,29.2
15-2021.00,Mathematicians,3.5649999999999995,3.5357142857142856,2.5,1.28,1.0,3.1850000000000005,2.4350000000000005,40.2,30.1
15-2031.00,Operations Research Analysts,4.0,3.644285714285714,2.7916666666666665,1.5325,1.0,3.0300000000000002,2.8766666666666665,39.7,29.6
15-2041.00,Statisticians,3.8774999999999995,3.4299999999999997,2.543333333333333,1.47,1.0,3.25,2.48,41.1,31.0
15-2041.01,Biostatisticians,3.94,3.6257142857142854,2.75,1.3725,1.125,3.4050000000000002,2.5816666666666666,39.9,29.8
15-2051.01,Business Intelligence Analysts,3.8774999999999995,3.2514285714285713,2.856666666666667,1.5325,1.0,2.31,2.518333333333333,41.9,31.8
15-2051.02,Clinical Data Managers,3.8475,3.3742857142857146,2.9166666666666665,1.9975,1.22,2.7199999999999998,2.7516666666666665,45.2,35.2
15-2099.01,Bioinformatics Technicians,3.5324999999999998,3.16,2.731666666666667,1.7775,1.09,2.9350000000000005,2.518333333333334,44.3,34.2
17-1011.00,"Architects, Except Landscape and Naval",3.94,3.7314285714285718,3.145,2.2824999999999998,1.0625,2.565,3.063333333333333,44.1,34.1
17-1012.00,Landscape Architects,3.9074999999999998,3.5371428571428574,3.3333333333333335,2.0625,1.0,2.2199999999999998,3.1033333333333335,42.3,32.3
17-1021.00,Cartographers and Photogrammetrists,3.5,2.944285714285715,2.7099999999999995,1.7825,1.2825,2.065,2.3533333333333335,47.4,37.4
17-1022.00,Surveyors,3.6875,3.052857142857143,2.875,2.4699999999999998,1.72,2.4050000000000002,2.563333333333333,53.5,43.5
17-1022.01,Geodetic Surveyors,3.7199999999999998,3.27,2.625,2.5649999999999995,1.69,2.8425000000000002,2.561666666666667,53.7,43.7
17-2011.00,Aerospace Engineers,3.91,3.7685714285714282,3.0416666666666665,2.3449999999999998,1.0625,3.3125,2.7516666666666665,44.7,34.6
17-2021.00,Agricultural Engineers,4.0,3.4314285714285715,2.936666666666667,2.59,1.66,2.9699999999999998,2.98,51.2,41.2
17-2031.00,Bioengineers and Biomedical Engineers,4.0,3.734285714285714,2.938333333333333,2.7199999999999998,2.4050000000000002,3.5649999999999995,2.935,42.3,32.2
17-2041.00,Chemical Engineers,3.5324999999999998,3.642857142857143,2.98,2.8125,1.28,3.315,3.0833333333333335,49.3,39.3
17-2051.00,Civil Engineers,3.7524999999999995,3.448571428571429,3.02,1.8125,1.3425,2.94,3.23,43.1,33.0
17-2051.01,Transportation Engineers,3.9375,3.537142857142857,3.1233333333333335,2.1550000000000002,1.0,2.8775,3.3766666666666665,42.2,32.2
17-2051.02,Water/Wastewater Engineers,3.9074999999999998,3.5885714285714285,3.0400000000000005,2.435,1.1875,3.0949999999999998,3.188333333333333,45.7,35.7
17-2061.00,Computer Hardware Engineers,3.91,3.5185714285714282,2.7266666666666666,2.5625,2.1550000000000002,2.8125,2.688333333333333,55.7,45.8
17-2071.00,Electrical Engineers,3.9699999999999998,3.5185714285714282,2.938333333333333,2.5025,1.78,2.6875,2.855,51.9,41.9
17-2072.00,"Electronics Engineers, Except Computer",3.7824999999999998,3.5,2.8983333333333334,3.0,2.5324999999999998,3.0625,2.8966666666666665,60.1,50.2
17-2072.01,Radio Frequency Identification Device Specialists,3.5925000000000002,3.16,2.875,2.5324999999999998,2.125,2.4050000000000002,2.606666666666666,56.4,46.5
17-2081.00,Environmental Engineers,4.0,3.5728571428571425,3.105,2.215,1.0,2.5,2.8333333333333335,44.2,34.2
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",3.7800000000000002,3.2314285714285718,3.1033333333333335,2.3725,1.0,2.285,2.77,46.4,36.4
17-2111.02,Fire-Prevention and Protection Engineers,3.91,3.552857142857143,3.0,2.75,1.22,2.7525,3.186666666666667,48.7,38.7
17-2112.00,Industrial Engineers,3.9074999999999998,3.2685714285714282,2.811666666666667,2.2199999999999998,1.0625,2.3425000000000002,2.8333333333333335,46.3,36.3
17-2112.01,Human Factors Engineers and Ergonomists,4.0,3.6242857142857146,3.0433333333333334,2.1225,1.1875,3.0300000000000002,2.7916666666666665,44.4,34.4
17-2112.02,Validation Engineers,4.0,3.4285714285714284,2.875,2.6225,1.155,2.6574999999999998,2.6233333333333335,49.3,39.3
17-2112.03,Manufacturing Engineers,3.8774999999999995,3.6614285714285715,3.0400000000000005,3.3125,2.6550000000000002,3.1550000000000002,3.293333333333333,61.2,51.4
17-2121.00,Marine Engineers and Naval Architects,3.9699999999999998,3.4814285714285718,3.0216666666666665,2.6525,1.2175,2.9050000000000002,2.855,48.6,38.6
17-2131.00,Materials Engineers,3.875,3.3742857142857146,3.0400000000000005,2.6550000000000002,1.5,3.0625,2.8100000000000005,50.7,40.7
17-2141.00,Mechanical Engineers,3.63,3.5014285714285713,2.8349999999999995,2.9675000000000002,2.0625,3.25,2.92,56.8,46.8
17-2141.01,Fuel Cell Engineers,3.7800000000000002,3.4614285714285713,2.811666666666667,2.9975,2.185,3.1574999999999998,2.831666666666667,58.1,48.2
17-2141.02,Automotive Engineers,3.8774999999999995,3.607142857142857,3.0833333333333335,2.5,1.22,3.25,2.9583333333333335,46.6,36.6
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",3.9699999999999998,3.658571428571429,2.9800000000000004,2.44,1.3125,3.0925000000000002,3.293333333333333,46.4,36.4
17-2161.00,Nuclear Engineers,3.9375,3.8214285714285716,3.0833333333333335,3.0600000000000005,1.4975,3.2199999999999998,2.9983333333333335,51.8,41.8
17-2171.00,Petroleum Engineers,3.91,3.5014285714285713,3.186666666666667,2.4675000000000002,1.4375,2.69,3.2516666666666665,47.7,37.7
17-2199.03,"Energy Engineers, Except Wind and Solar",3.9074999999999998,3.6099999999999994,3.0216666666666665,2.31,1.0625,2.8725,2.9583333333333335,44.8,34.8
17-2199.05,Mechatronics Engineers,3.6550000000000002,3.4642857142857144,2.855,2.8425000000000002,1.72,3.0300000000000002,2.73,54.3,44.3
17-2199.06,Microsystems Engineers,3.8425000000000002,3.552857142857143,3.0,2.8725,1.8775,3.0,3.043333333333333,54.1,44.1
17-2199.07,Photonics Engineers,3.7824999999999998,3.3757142857142854,2.7283333333333335,2.8775,2.2175000000000002,3.1550000000000002,2.581666666666667,58.5,48.6
17-2199.08,Robotics Engineers,3.69,3.7171428571428566,2.9399999999999995,3.4350000000000005,2.9699999999999998,3.3425000000000002,3.1233333333333335,64.5,54.9
17-2199.09,Nanosystems Engineers,3.94,3.627142857142857,3.0,2.6875,1.935,3.3125,2.918333333333333,53.0,43.0
17-2199.10,Wind Energy Engineers,3.4725,3.2857142857142856,2.895,2.3425000000000002,1.0925,2.8125,2.7516666666666665,47.1,37.1
17-2199.11,Solar Energy Systems Engineers,3.8774999999999995,3.341428571428571,2.9166666666666665,2.5324999999999998,1.75,2.7824999999999998,2.561666666666667,52.9,42.9
17-3011.00,Architectural and Civil Drafters,3.3425000000000002,3.1257142857142854,2.936666666666667,2.0949999999999998,1.3425,2.5949999999999998,2.6466666666666665,47.8,37.8
17-3012.00,Electrical and Electronics Drafters,3.4375,3.1242857142857146,2.75,2.2525,1.31,2.25,2.523333333333333,49.8,39.8
17-3013.00,Mechanical Drafters,3.1550000000000002,3.0714285714285716,2.668333333333333,2.0925000000000002,1.0625,2.44,2.481666666666667,47.5,37.5
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,3.5275,3.197142857142857,2.7083333333333335,3.4375,2.6550000000000002,2.59,2.6233333333333335,66.0,56.6
17-3022.00,Civil Engineering Technologists and Technicians,3.5324999999999998,3.0171428571428573,2.668333333333333,2.0925000000000002,1.03,2.5,2.5,47.0,37.0
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,3.5,3.0157142857142856,2.688333333333333,2.9699999999999998,2.7800000000000002,2.0949999999999998,2.6233333333333335,64.7,55.2
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,3.1525,3.1785714285714284,2.5016666666666665,3.75,3.2775,2.5625,2.6233333333333335,72.3,63.9
17-3024.01,Robotics Technicians,3.5324999999999998,3.1771428571428575,2.7533333333333325,3.6875,3.5300000000000002,2.8449999999999998,2.56,72.3,64.0
17-3025.00,Environmental Engineering Technologists and Technicians,3.5649999999999995,3.3042857142857143,2.898333333333333,2.9375,2.065,2.625,2.75,57.9,47.9
17-3026.00,Industrial Engineering Technologists and Technicians,3.5625,3.2857142857142856,2.813333333333334,2.2175000000000002,1.905,2.7199999999999998,2.7083333333333335,52.2,42.2
17-3026.01,Nanotechnology Engineering Technologists and Technicians,3.4375,3.162857142857143,2.893333333333333,2.9074999999999998,1.9675,2.4975,2.605,57.8,47.9
17-3027.00,Mechanical Engineering Technologists and Technicians,3.6550000000000002,3.194285714285715,2.8966666666666665,3.1574999999999998,2.3425000000000002,2.6574999999999998,2.6650000000000005,61.4,51.7
17-3027.01,Automotive Engineering Technicians,3.4050000000000002,2.9457142857142857,2.606666666666666,3.0949999999999998,2.8449999999999998,2.465,2.438333333333333,66.3,56.9
17-3029.01,Non-Destructive Testing Specialists,3.4675000000000002,3.0342857142857147,2.77,3.3125,2.06,2.3425000000000002,2.561666666666667,62.0,52.2
17-3029.08,Photonics Technicians,3.2800000000000002,2.947142857142857,2.4783333333333335,3.1900000000000004,2.9699999999999998,2.4050000000000002,2.5216666666666665,68.0,58.8
17-3031.00,Surveying and Mapping Technicians,3.3425000000000002,2.857142857142857,2.7733333333333334,2.2199999999999998,1.0925,2.2175000000000002,2.3733333333333335,49.0,39.0
19-1011.00,Animal Scientists,3.9699999999999998,3.6614285714285715,3.0400000000000005,2.2525,1.06,2.815,2.9166666666666665,44.4,34.3
19-1012.00,Food Scientists and Technologists,3.9699999999999998,3.484285714285714,3.02,2.5925000000000002,1.155,2.5,2.7083333333333335,48.5,38.5
19-1013.00,Soil and Plant Scientists,3.94,3.59,2.938333333333333,2.4375,1.0,2.7800000000000002,2.7716666666666665,46.0,36.0
19-1021.00,Biochemists and Biophysicists,4.2175,3.9271428571428575,2.936666666666667,2.4375,1.75,3.25,2.7099999999999995,49.9,39.9
19-1022.00,Microbiologists,3.9699999999999998,3.6242857142857146,2.8733333333333335,2.5324999999999998,1.1875,2.875,2.7083333333333335,48.1,38.1
19-1023.00,Zoologists and Wildlife Biologists,3.9699999999999998,3.4285714285714284,3.206666666666667,2.1225,1.0,2.69,2.855,43.3,33.2
19-1029.01,Bioinformatics Scientists,4.0,3.4271428571428575,2.9599999999999995,1.905,1.125,2.9050000000000002,2.813333333333333,43.2,33.2
19-1029.02,Molecular and Cellular Biologists,4.1575,3.8214285714285716,3.143333333333334,2.5949999999999998,1.22,3.1550000000000002,2.936666666666667,46.6,36.6
