O*NET-SOC Code,Title,Modified BLS Super Sector,software_automation_risk,software_automation_reason,software_and_robotics_automation_risk,software_and_robotics_automation_reason,software_only_adoption_rate,software_and_robotics_adoption_rate,automation_adoption_rate_reason
11-3071.00,"Transportation, Storage, and Distribution Managers",PACKAGING_AND_GOODS_TRANSPORTATION,4.0,"Transportation managers engage in strategic planning, relationship building, and complex problem-solving that require human judgment. While some administrative tasks like reporting and data entry are vulnerable, core duties involve tackling ambiguous logistics problems, building supplier relationships, and making high-stakes operational decisions that align with safe duties in the framework.",5.0,"With robotics integration, warehouse operations and inventory management could become more automated. However, managers still need to oversee variable environments, make strategic decisions about facility modifications, negotiate contracts, and manage human resources. The role shifts toward higher-level coordination and adaptation rather than direct operational control.",6.0,7.0,"The transportation and logistics industry is moderately quick to adopt automation technologies due to competitive pressures for efficiency and cost reduction. Software solutions for route optimization and inventory management are already widespread. Robotics adoption is accelerating in warehouses, though implementation requires significant capital investment and workforce retraining."
11-3071.04,Supply Chain Managers,PACKAGING_AND_GOODS_TRANSPORTATION,4.0,"Supply Chain Managers engage in strategic planning, relationship building, and complex problem-solving that require human judgment and creativity. While some data analysis and reporting tasks are vulnerable to software automation, the core responsibilities of negotiating, managing teams, and making high-stakes decisions remain largely protected from short-term software automation.",3.0,"Even with robotics integration, Supply Chain Managers' roles focus on strategic oversight, human relationship management, and adaptive problem-solving in variable environments. While warehouse operations may become more automated, the managerial aspects requiring leadership, negotiation, and strategic thinking remain largely safe from automation.",6.0,7.0,"The packaging and transportation industry is moderately progressive in adopting automation technologies. Software solutions for supply chain optimization, inventory management, and logistics planning are being adopted at a steady pace. Robotics adoption is slightly faster due to clear ROI in warehouse operations and material handling, though implementation requires significant capital investment and workforce training."
11-3111.00,Compensation and Benefits Managers,FINANCE_AND_INSURANCE,4.0,"Compensation and Benefits Managers have moderate software automation risk. While routine data processing, reporting, and compliance documentation are vulnerable to automation, the role requires strategic thinking, complex problem-solving, negotiation, and relationship building that remain human-centric. The job involves high-stakes ethical/legal judgment and tackling ambiguous HR problems without clear precedents.",3.0,"Adding robotics doesn't significantly increase automation risk since this is primarily a knowledge-based office role. The position involves human-centric activities like coaching, mentoring, conflict resolution, and strategic decision-making that require empathy, social intelligence, and adaptability in variable organizational environments - areas where robotics adds minimal automation capability.",7.0,6.0,"The finance and insurance industry typically adopts software automation relatively quickly due to regulatory compliance needs and cost pressures. However, HR management systems require careful implementation due to employee privacy concerns and complex organizational change management, moderating the adoption speed slightly for robotics integration."
11-3121.00,Human Resources Managers,ADMINISTRATIVE_SUPPORT_WASTE_SERVICES,4.0,"HR Managers have moderate software automation risk. While some tasks like data entry, routine reporting, and standardized correspondence are vulnerable, core duties require strategic thinking, relationship building, ethical judgment, and handling ambiguous HR problems - all areas where humans excel and AI currently struggles.",3.0,"Adding robotics doesn't significantly increase automation risk for HR Managers since the role is primarily knowledge-based with minimal physical tasks. The job remains centered on human-centric activities like coaching, conflict resolution, and strategic decision-making that require emotional intelligence and complex judgment.",6.0,4.0,Administrative/support services industry has moderate software adoption rates due to cost-benefit considerations and need for employee training. Robotics adoption is slower as most HR functions don't require physical automation. Organizations are cautious about automating sensitive HR processes involving employee relations and compliance.
11-3131.00,Training and Development Managers,EDUCATIONAL_SERVICES,3.0,"Training and Development Managers primarily engage in strategic thinking, relationship building, coaching, and creative problem-solving - all safe duties. While some administrative tasks like reporting and documentation are vulnerable, the core functions of designing novel training solutions, tackling ambiguous learning needs, and building relationships with stakeholders provide strong protection against software automation.",2.0,"The role is heavily human-centric, focusing on education, mentoring, and interpersonal relationships - areas that remain safe from robotics automation. The job requires adaptability in variable environments, creative physical expression through training delivery, and on-the-fly problem solving when addressing diverse learning needs, making it highly resistant to automation even with advanced robotics.",5.0,3.0,"Educational services industry has moderate adoption rates for software tools (LMS, e-learning platforms) but is traditionally conservative with major technological changes. Training programs require significant human oversight and customization. Robotics adoption is slower due to the inherently human nature of education and training, plus high costs of implementing advanced systems across educational institutions."
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",AGRICULTURE_FORESTRY_FISHING_HUNTING,4.0,"Agricultural managers perform complex strategic planning, problem-solving, and relationship management that require deep domain expertise and adaptability. While some data entry and reporting tasks are vulnerable, core duties like tackling unpredictable environmental challenges, making high-stakes decisions, and managing diverse operations remain largely protected from software automation.",6.0,"Long-term robotics integration poses moderate risk as some operational monitoring, equipment maintenance, and standardized agricultural processes could be automated. However, strategic management, crisis response, relationship building, and complex decision-making in variable agricultural environments will likely remain human-centric, protecting core managerial functions.",5.0,4.0,"Agriculture traditionally adopts technology gradually due to high capital costs, diverse farm sizes, and conservative practices. Software adoption is moderate through precision agriculture tools, but robotics adoption is slower due to equipment costs, training requirements, and the need for systems to handle variable field conditions across different farm operations."
11-9021.00,Construction Managers,CONSTRUCTION,3.0,"Construction Managers primarily engage in strategic planning, relationship building, problem-solving, and high-stakes decision making - activities that align with 'safe duties' like framing strategy, tackling ambiguous problems, and deep domain expertise. While some administrative tasks like reporting and documentation are vulnerable, the core management responsibilities require human judgment and leadership skills.",2.0,"Construction Managers work in highly variable environments requiring adaptability, human-centric coordination, and on-the-fly problem solving. Their role involves managing complex projects with unpredictable challenges, leading teams, and making critical safety decisions - all activities that fall under 'safe duties' for robotics automation. Physical presence on construction sites for supervision and inspection remains essential.",6.0,4.0,"The construction industry has moderate adoption rates for software automation (project management tools, scheduling software) as these provide clear efficiency gains. However, robotics adoption is slower due to high capital costs, complex job site environments, safety regulations, and the need for extensive worker retraining. The industry's traditional nature and fragmented structure also slow technology adoption."
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",EDUCATIONAL_SERVICES,3.0,"While some administrative tasks like record-keeping and reporting could be automated, the core duties involve human-centric activities like building relationships with parents/staff, coaching/mentoring, resolving conflicts, and making complex educational decisions requiring empathy and judgment - all identified as safe duties in the premises.",2.0,"The role is heavily focused on human-centric care and education, relationship building, and adaptive problem-solving in variable environments with children and families. These activities align strongly with safe duties like 'human-centric care & education' and 'adaptability in variable environments' that are protected from robotics automation.",4.0,2.0,"Educational services industry is traditionally slow to adopt new technologies due to regulatory requirements, safety concerns with children, need for extensive staff training, and emphasis on human interaction. Budget constraints in childcare/preschool settings further slow adoption of expensive automation technologies."
11-9032.00,"Education Administrators, Kindergarten through Secondary",EDUCATIONAL_SERVICES,3.0,"Education administrators perform complex strategic planning, relationship building, and high-stakes decision-making that require deep domain expertise and human judgment. While some administrative tasks like data entry and reporting could be automated, core duties involve tackling ambiguous problems, ethical judgment, and coaching others - all identified as safe from software automation.",2.0,"The role is heavily human-centric, involving education, care, mentoring, and complex interpersonal relationships. These activities require adaptability in variable environments and creative problem-solving. Robotics adds little automation potential beyond software capabilities since the work is primarily cognitive and relationship-based rather than physical.",4.0,3.0,"Educational institutions are traditionally conservative in adopting new technologies due to regulatory compliance, budget constraints, and the need for extensive training. While some administrative software tools are being adopted, the sector moves slowly due to the complexity of educational systems and resistance to change in established institutions."
11-9033.00,"Education Administrators, Postsecondary",EDUCATIONAL_SERVICES,3.0,"Education administrators engage in strategic planning, relationship building, and high-stakes decision-making that require deep domain expertise and human judgment. While some administrative tasks like data entry and reporting could be automated, the core responsibilities involve tackling ambiguous problems, coaching others, and making ethical judgments that are safe from software automation.",2.0,"The role is heavily human-centric, involving education, mentoring, and interpersonal relationships that require empathy and adaptability. Physical robotics adds little automation risk since the work is primarily cognitive and social. The job focuses on creative problem-solving, strategic thinking, and building relationships - all areas that remain safe from automation.",5.0,4.0,"Educational institutions are traditionally conservative in adopting new technologies due to regulatory requirements, budget constraints, and the need for extensive training. While software tools for administration and data management are gradually being adopted, the pace is moderate due to the complexity of educational systems and resistance to change in academic environments."
11-9041.00,Architectural and Engineering Managers,ARCHITECTURAL_ENGINEERING_SERVICES,3.0,"Architectural and Engineering Managers primarily engage in strategic planning, creative problem-solving, client negotiations, and team leadership - activities that require deep domain expertise, relationship building, and high-stakes judgment. While some administrative tasks may be automated, core managerial and strategic functions remain largely protected from software-only automation.",2.0,"Even with robotics integration, this role remains highly protected due to its emphasis on human-centric leadership, creative design oversight, client relationship management, and complex decision-making in variable project environments. The role requires adaptability, ethical judgment, and interpersonal skills that are difficult to automate.",6.0,4.0,"The architectural and engineering services industry has moderate adoption rates for software automation (project management tools, CAD software, data analytics) but slower adoption for robotics due to the highly customized, client-focused nature of projects. Implementation requires significant training and integration with existing workflows, making adoption gradual."
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,ENERGY,3.0,"This role involves high-level strategic thinking, novel solution design, and complex problem-solving in biofuels R&D. While some data analysis and reporting tasks could be automated, the core activities require deep domain expertise, creative thinking, and tackling ambiguous problems without clear precedents - all identified as safe duties in software automation scenarios.",2.0,"The role primarily involves intellectual work, research design, and management activities that don't involve repetitive physical tasks. The job requires adaptability in variable research environments, creative physical expression in lab design, and on-the-fly problem solving - all characteristics that make it resistant to robotics automation.",6.0,4.0,"The energy industry, particularly renewable energy sectors, adopts software automation at moderate pace for data analysis and process optimization. However, robotics adoption is slower due to the specialized nature of biofuels R&D, high costs of custom automation systems, and the need for human expertise in experimental design and interpretation."
11-9051.00,Food Service Managers,TRAVEL_AND_ENTERTAINMENT_SERVICES,4.0,"Food Service Managers have moderate software automation risk. While some administrative tasks like scheduling, inventory tracking, and basic reporting can be automated, the role requires significant human judgment for quality control, staff management, customer service, and handling complex operational decisions that involve safety, compliance, and interpersonal skills.",3.0,"Adding robotics doesn't significantly increase automation risk for Food Service Managers. The role is primarily managerial and interpersonal, focusing on supervision, training, customer relations, and strategic decision-making. While robots may handle some food preparation tasks, managers still need to oversee operations, ensure quality, manage staff, and handle complex customer situations.",6.0,4.0,"The travel and entertainment services industry has moderate adoption rates for software automation (scheduling, POS systems, inventory management) as these improve efficiency and reduce costs. However, robotics adoption is slower due to high implementation costs, need for customization in diverse restaurant environments, and the industry's emphasis on human hospitality and service quality."
11-9071.00,Gambling Managers,TRAVEL_AND_ENTERTAINMENT_SERVICES,4.0,"Gambling managers have mixed automation risk. While some administrative tasks like scheduling, payroll tracking, and basic reporting could be automated, core duties require human judgment for customer relations, conflict resolution, fraud detection, staff management, and regulatory compliance in high-stakes environments.",3.0,"Even with robotics, gambling managers remain relatively safe due to the human-centric nature of hospitality, need for real-time decision making in unpredictable situations, relationship building with high-value customers, and regulatory requirements for human oversight in gaming operations.",6.0,4.0,"The gaming industry adopts software automation moderately for back-office operations and surveillance systems. However, robotics adoption is slower due to regulatory constraints, customer preference for human interaction, and the complex, unpredictable nature of casino environments requiring human oversight."
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",TRAVEL_AND_ENTERTAINMENT_SERVICES,4.0,"Entertainment and Recreation Managers have moderate software automation risk. While some tasks like budget calculations, scheduling, and basic reporting could be automated, the role heavily involves relationship building, creative program planning, customer service, and complex problem-solving that require human judgment and interpersonal skills.",3.0,"Adding robotics doesn't significantly increase automation risk for this management role. The position requires human-centric leadership, creative event planning, customer relationship management, and adaptive problem-solving in variable entertainment environments - all areas where human skills remain essential even with advanced automation.",6.0,4.0,"The travel and entertainment industry has moderate software adoption rates for management tools, scheduling systems, and customer management platforms. However, robotics adoption is slower due to the human-centric nature of entertainment services, high customization costs, and the industry's focus on personal experiences and relationships."
