SOC Group,SOC Code,SOC Title,SOC Definition,Unnamed: 4,soc_code_clean,AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,occ_code_clean,major_group_code,major_group_title,employment_weight,economic_value_total,economic_value_percentage
Detailed,11-3021,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming. Excludes “Computer Occupations” (15-1211 through 15-1299).",,113021,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-3021,Computer and Information Systems Managers,detailed,592600.0,0.5,,,,,86.88,180720.0,0.3,48.84,63.35,81.5,102.91,,101590.0,131770.0,169510.0,214050.0,,,,113021,11-0000,Management Occupations,0.004146532845004338,107094672000.0,1.1224887884888957
Detailed,11-3031,Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment. Excludes “Financial Risk Specialists” (13-2054).",,113031,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-3031,Financial Managers,detailed,787340.0,1.0,,,,,84.05,174820.0,0.5,39.84,52.98,75.05,101.36,,82870.0,110190.0,156100.0,210830.0,,,,113031,11-0000,Management Occupations,0.00550916498512608,137642778800.0,1.4426719194719329
Detailed,11-3051,Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",,113051,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-3051,Industrial Production Managers,detailed,222890.0,0.7,,,,,60.53,125900.0,0.3,34.62,44.03,56.24,72.7,91.58,72010.0,91590.0,116970.0,151220.0,190480.0,,,113051,11-0000,Management Occupations,0.0015596029460395154,28061851000.0,0.29412399836049646
Detailed,11-3061,Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",,113061,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-3061,Purchasing Managers,detailed,77530.0,1.2,,,,,70.53,146710.0,0.4,40.15,50.62,65.57,82.75,103.45,83510.0,105300.0,136380.0,172110.0,215170.0,,,113061,11-0000,Management Occupations,0.0005424918857124305,11374426300.0,0.11921849853784726
Detailed,11-3071,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.",,113071,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-3071,"Transportation, Storage, and Distribution Managers",detailed,198780.0,0.7,,,,,53.79,111870.0,0.3,28.27,36.6,47.69,63.99,84.39,58810.0,76120.0,99200.0,133090.0,175530.0,,,113071,11-0000,Management Occupations,0.0013909007744346308,22237518600.0,0.2330775644218163
Detailed,11-3111,Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities of an organization. Job analysis and position description managers are included in “Human Resources Managers” (11-3121).",,113111,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-3111,Compensation and Benefits Managers,detailed,18690.0,2.6,,,,,72.57,150940.0,1.2,36.81,49.3,65.57,87.03,110.56,76550.0,102540.0,136380.0,181030.0,229970.0,,,113111,11-0000,Management Occupations,0.0001307774196306633,2821068600.0,0.029568397903661024
Detailed,11-3121,Human Resources Managers,"Plan, direct, or coordinate human resources activities and staff of an organization. Excludes managers who primarily focus on compensation and benefits (11-3111) and training and development (11-3131).",,113121,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-3121,Human Resources Managers,detailed,200600.0,1.3,,,,,74.39,154740.0,0.4,38.97,49.68,65.55,87.56,,81060.0,103340.0,136350.0,182120.0,,,,113121,11-0000,Management Occupations,0.0014036356542488527,31040844000.0,0.32534764544806494
Detailed,11-3131,Training and Development Managers,"Plan, direct, or coordinate the training and development activities and staff of an organization.",,113131,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-3131,Training and Development Managers,detailed,41540.0,2.4,,,,,66.56,138450.0,0.4,35.29,45.31,60.12,80.19,105.8,73410.0,94240.0,125040.0,166780.0,220060.0,,,113131,11-0000,Management Occupations,0.0002906631359795481,5751213000.0,0.06028004934467316
Detailed,11-9013,"Farmers, Ranchers, and Other Agricultural Managers","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities. Excludes “First-Line Supervisors of Farming, Fishing, and Forestry Workers” (45-1011).",,119013,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,6150.0,4.7,,,,,43.35,90160.0,1.4,22.98,30.54,40.27,52.45,65.58,47800.0,63510.0,83770.0,109090.0,136410.0,,,119013,11-0000,Management Occupations,4.3032698273332226e-05,554484000.0,0.005811699702450901
Detailed,11-9021,Construction Managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.",,119021,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-9021,Construction Managers,detailed,329190.0,2.9,,,,,56.23,116960.0,0.5,31.0,39.25,50.43,65.17,82.71,64480.0,81640.0,104900.0,135550.0,172040.0,,,119021,11-0000,Management Occupations,0.002303403893430607,38502062400.0,0.40355073292254784
Detailed,11-9031,"Education and Childcare Administrators, Preschool and Daycare","Plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care. Excludes “Preschool Teachers, Except Special Education” (25-2011) and “Childcare Workers” (39-9011).",,119031,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,64090.0,1.7,,,,,29.48,61320.0,1.1,17.57,21.36,26.1,33.34,45.62,36550.0,44420.0,54290.0,69350.0,94890.0,,,119031,11-0000,Management Occupations,0.00044844969631509956,3929998800.0,0.04119140111633951
Detailed,11-9032,"Education Administrators, Kindergarten through Secondary","Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools.",,119032,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,302580.0,0.6,,,,,,111020.0,0.3,,,,,,70050.0,83050.0,103460.0,131180.0,163010.0,True,,119032,11-0000,Management Occupations,0.0021172087550479454,33592431600.0,0.3520915386815891
Detailed,11-9033,"Education Administrators, Postsecondary","Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges.",,119033,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-9033,"Education Administrators, Postsecondary",detailed,167270.0,0.3,,,,,58.66,122010.0,0.3,30.27,38.32,49.33,65.97,100.9,62970.0,79700.0,102610.0,137230.0,209870.0,,,119033,11-0000,Management Occupations,0.0011704194211675254,20408612700.0,0.21390829736480346
Detailed,11-9039,"Education Administrators, All Other",All education administrators not listed separately.,,119039,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-9039,"Education Administrators, All Other",detailed,50690.0,1.3,,,,,48.42,100720.0,0.7,23.78,31.16,42.53,57.75,76.06,49470.0,64800.0,88460.0,120120.0,158200.0,,,119039,11-0000,Management Occupations,0.0003546873943862131,5105496800.0,0.053512119796827365
Detailed,11-9041,Architectural and Engineering Managers,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields. Excludes “Natural Sciences Managers” (11-9121).",,119041,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-9041,Architectural and Engineering Managers,detailed,207800.0,2.1,,,,,82.83,172290.0,0.5,51.63,63.89,79.5,97.61,112.31,107390.0,132890.0,165370.0,203030.0,233590.0,,,119041,11-0000,Management Occupations,0.0014540153985688514,35801862000.0,0.3752491879523813
Detailed,11-9051,Food Service Managers,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages. Excludes “Chefs and Head Cooks” (35-1011).",,119051,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-9051,Food Service Managers,detailed,246070.0,2.1,,,,,33.45,69580.0,0.8,20.67,24.22,30.32,38.29,48.67,42990.0,50390.0,63060.0,79630.0,101240.0,,,119051,11-0000,Management Occupations,0.0017217977340030668,17121550600.0,0.1794556930903652
Detailed,11-9071,Gambling Managers,"Plan, direct, or coordinate gambling operations in a casino. May formulate house rules.",,119071,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-9071,Gambling Managers,detailed,4590.0,1.6,,,,,47.24,98270.0,1.1,24.01,31.35,39.61,54.67,76.66,49940.0,65210.0,82380.0,113720.0,159440.0,,,119071,11-0000,Management Occupations,3.211708700399917e-05,451059300.0,0.004727676902485395
Detailed,11-9072,"Entertainment and Recreation Managers, Except Gambling","Plan, direct, or coordinate entertainment and recreational activities and operations of a recreational facility, including cruise ships and parks.",,119072,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-9072,"Entertainment and Recreation Managers, Except Gambling",detailed,29690.0,2.1,,,,,40.42,84080.0,1.2,20.54,25.71,35.32,47.68,64.27,42730.0,53480.0,73460.0,99170.0,133680.0,,,119072,11-0000,Management Occupations,0.00020774647345288353,2496335200.0,0.02616477759332588
Detailed,11-9081,Lodging Managers,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations. Excludes “Food Service Managers” (11-9051) in lodging establishments.",,119081,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-9081,Lodging Managers,detailed,41980.0,1.7,,,,,36.92,76790.0,1.1,18.88,23.74,31.42,42.27,61.1,39270.0,49380.0,65360.0,87930.0,127090.0,,,119081,11-0000,Management Occupations,0.0002937418981324369,3223644200.0,0.033787903777110925
Detailed,11-9111,Medical and Health Services Managers,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.",,119111,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-9111,Medical and Health Services Managers,detailed,515100.0,0.6,,,,,64.64,134440.0,0.5,32.65,41.38,53.21,75.79,104.21,67900.0,86080.0,110680.0,157640.0,216750.0,,,119111,11-0000,Management Occupations,0.0036042508748932406,69250044000.0,0.7258288067996764
Detailed,11-9121,Natural Sciences Managers,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields. Excludes “Computer and Information Systems Managers” (11-3021) and “Architecture and Engineering Managers” (11-9041).",,119121,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-9121,Natural Sciences Managers,detailed,96520.0,1.5,,,,,81.31,169120.0,1.1,37.27,52.55,75.84,101.96,,77520.0,109300.0,157740.0,212080.0,,,,119121,11-0000,Management Occupations,0.000675368461356427,16323462400.0,0.1710907105940811
Detailed,11-9131,Postmasters and Mail Superintendents,"Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.",,119131,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-9131,Postmasters and Mail Superintendents,detailed,13810.0,0.0,,,,,43.16,89770.0,0.0,38.01,39.9,42.63,45.99,50.45,79060.0,82990.0,88670.0,95660.0,104940.0,,,119131,11-0000,Management Occupations,9.663114848044195e-05,1239723700.0,0.012993885952365317
Detailed,11-9141,"Property, Real Estate, and Community Association Managers","Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way).",,119141,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-9141,"Property, Real Estate, and Community Association Managers",detailed,284120.0,1.1,,,,,37.69,78400.0,1.2,18.05,23.05,30.22,44.5,65.38,37540.0,47940.0,62850.0,92560.0,135990.0,,,119141,11-0000,Management Occupations,0.0019880406883608375,22275008000.0,0.2334705011608837
Detailed,11-9151,Social and Community Service Managers,"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization’s budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.",,119151,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-9151,Social and Community Service Managers,detailed,173650.0,0.8,,,,,40.1,83400.0,0.7,23.5,29.26,37.03,47.47,61.32,48880.0,60860.0,77030.0,98740.0,127550.0,,,119151,11-0000,Management Occupations,0.0012150614723844132,14482410000.0,0.15179413272118214
Detailed,11-9161,Emergency Management Directors,"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations.",,119161,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-9161,Emergency Management Directors,detailed,11910.0,2.4,,,,,45.05,93690.0,0.5,24.2,30.11,40.37,53.94,72.87,50340.0,62630.0,83960.0,112190.0,151560.0,,,119161,11-0000,Management Occupations,8.333649372933119e-05,1115847900.0,0.011695509533927872
Detailed,11-9171,Funeral Home Managers,"Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes. Excludes “Morticians, Undertakers, and Funeral Arrangers” (39-4031).",,119171,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-9171,Funeral Home Managers,detailed,14200.0,2.5,,,,,40.77,84800.0,1.0,21.56,28.68,36.37,47.39,63.16,44830.0,59650.0,75660.0,98560.0,131360.0,,,119171,11-0000,Management Occupations,9.936005129777522e-05,1204160000.0,0.012621133006007887
Detailed,11-9179,"Personal Service Managers, All Other","All personal service managers not listed separately. Excludes “Financial Specialists” (13-2000). Daycare Managers are included in Education and Childcare Administrators, Preschool and Daycare (11-9031).",,119179,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-9179,"Personal Service Managers, All Other",detailed,11170.0,6.6,,,,,30.28,62980.0,2.6,14.9,19.91,27.68,35.41,48.03,31000.0,41410.0,57570.0,73650.0,99900.0,,,119179,11-0000,Management Occupations,7.81585755631091e-05,703486600.0,0.007373437040380238
Detailed,11-9199,"Managers, All Other",All managers not listed separately.,,119199,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-9199,"Managers, All Other",detailed,589750.0,1.3,,,,,70.35,146320.0,0.3,32.39,47.11,64.21,83.9,108.23,67370.0,97990.0,133560.0,174510.0,225120.0,,,119199,11-0000,Management Occupations,0.0041265908628776715,86292220000.0,0.904452552819969
Detailed,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes","Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients.",,131011,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,12870.0,7.0,,,,,63.85,132810.0,4.5,22.65,29.94,40.82,62.46,,47100.0,62280.0,84900.0,129930.0,,,,131011,13-0000,Business and Financial Operations Occupations,9.005379297199768e-05,1709264700.0,0.017915274648862417
Detailed,13-1021,"Buyers and Purchasing Agents, Farm Products","Purchase farm products either for further processing or resale. Includes tree farm contractors, grain brokers and market operators, grain buyers, and tobacco buyers. May negotiate contracts.",,131021,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,13-0000,Business and Financial Operations Occupations,0.0,0.0,0.0
Detailed,13-1022,"Wholesale and Retail Buyers, Except Farm Products","Buy merchandise or commodities, other than farm products, for resale to consumers at the wholesale or retail level, including both durable and nondurable goods. Analyze past buying trends, sales records, price, and quality of merchandise to determine value and yield. Select, order, and authorize payment for merchandise according to contractual agreements. May conduct meetings with sales personnel and introduce new products. May negotiate contracts. Includes assistant wholesale and retail buyers of nonfarm products. Excludes “Procurement Clerks” (43-3061).",,131022,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,13-0000,Business and Financial Operations Occupations,0.0,0.0,0.0
Detailed,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchase machinery, equipment, tools, parts, supplies, or services necessary for the operation of an establishment. Purchase raw or semifinished materials for manufacturing. May negotiate contracts. Excludes “Buyers and Purchasing Agents, Farm Products” (13-1021) and “Wholesale and Retail Buyers, Except Farm Products” (13-1022).",,131023,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,13-0000,Business and Financial Operations Occupations,0.0,0.0,0.0
Detailed,13-1031,"Claims Adjusters, Examiners, and Investigators",Review settled claims to determine that payments and settlements are made in accordance with company practices and procedures. Confer with legal counsel on claims requiring litigation. May also settle insurance claims. Excludes “Fire Inspectors and Investigators” (33-2021).,,131031,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,293780.0,0.9,,,,,36.43,75770.0,0.3,22.79,28.26,36.08,43.8,50.69,47390.0,58770.0,75050.0,91100.0,105440.0,,,131031,13-0000,Business and Financial Operations Occupations,0.0020556335119901693,22259710600.0,0.2333101648932398
Detailed,13-1032,"Insurance Appraisers, Auto Damage",Appraise automobile or other vehicle damage to determine repair costs for insurance claim settlement. Prepare insurance forms to indicate repair cost or cost estimates and recommendations. May seek agreement with automotive repair shop on repair costs.,,131032,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,13-1032,"Insurance Appraisers, Auto Damage",detailed,8670.0,4.7,,,,,36.37,75660.0,0.8,27.35,30.62,35.83,39.78,48.19,56890.0,63690.0,74520.0,82740.0,100240.0,,,131032,13-0000,Business and Financial Operations Occupations,6.0665608785331767e-05,655972200.0,0.00687542551192832
Detailed,13-1041,Compliance Officers,"Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere. Excludes “Financial Examiners"" (13-2061), “Tax Examiners and Collectors, and Revenue Agents” (13-2081), “Occupational Health and Safety Specialists” (19-5011), “Occupational Health and Safety Technicians” (19-5012), “Transportation Security Screeners” (33-9093), “Agricultural Inspectors” (45-2011), “Construction and Building Inspectors” (47-4011), and “Transportation Inspectors” (53-6051).",,131041,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,13-1041,Compliance Officers,detailed,383620.0,0.4,,,,,38.55,80190.0,0.3,21.05,27.01,36.38,48.24,59.48,43790.0,56180.0,75670.0,100340.0,123710.0,,,131041,13-0000,Business and Financial Operations Occupations,0.002684260766116375,30762487800.0,0.32243011735939986
Detailed,13-1051,Cost Estimators,"Prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service. May specialize according to particular service performed or type of product manufactured.",,131051,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,13-1051,Cost Estimators,detailed,220970.0,0.8,,,,,38.23,79520.0,0.5,21.55,27.47,35.94,46.51,59.87,44820.0,57130.0,74740.0,96740.0,124520.0,,,131051,13-0000,Business and Financial Operations Occupations,0.0015461683475541824,17571534400.0,0.18417209738078244
Detailed,13-1071,Human Resources Specialists,"Recruit, screen, interview, or place individuals within an organization. May perform other activities in multiple human resources areas. Excludes “Compensation, Benefits, and Job Analysis Specialists” (13-1141) and “Training and Development Specialists” (13-1151).",,131071,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,13-1071,Human Resources Specialists,detailed,895970.0,1.6,,,,,36.57,76060.0,0.3,20.62,24.76,32.53,44.42,58.56,42900.0,51510.0,67650.0,92390.0,121800.0,,,131071,13-0000,Business and Financial Operations Occupations,0.006269269377554061,68147478200.0,0.7142725106183754
Detailed,13-1074,Farm Labor Contractors,"Recruit and hire seasonal or temporary agricultural laborers. May transport, house, and provide meals for workers.",,131074,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,13-1074,Farm Labor Contractors,detailed,460.0,24.9,,,,,24.71,51400.0,10.9,12.84,15.37,21.98,30.76,43.1,26700.0,31970.0,45730.0,63980.0,89640.0,,,131074,13-0000,Business and Financial Operations Occupations,3.2187058871110283e-06,23644000.0,0.00024781928381116335
