O*NET-SOC Code,total_technologies,hot_technologies,in_demand_technologies,unique_tech_categories,hot_tech_ratio,in_demand_ratio,avg_tech_sophistication,category_distribution,tech_intensity_score,SOC_Detailed,detailed_title,major_code,major_title,minor_code,minor_title,broad_code,broad_title
11-3013.00,50,21,5,24,0.42,0.1,1.28,"{'Document management software': 1, 'Desktop publishing software': 2, 'Human resources software': 3, 'Computer aided design CAD software': 2, 'Customer relationship management CRM software': 1, 'Financial analysis software': 1, 'Electronic mail software': 4, 'Data base user interface and query software': 4, 'Accounting software': 3, 'Word processing software': 2, 'Cloud-based data access and sharing software': 2, 'Office suite software': 2, 'Instant messaging software': 1, 'Enterprise resource planning ERP software': 9, 'Enterprise system management software': 1, 'Spreadsheet software': 1, 'Internet browser software': 2, 'Presentation software': 1, 'Project management software': 3, 'Process mapping and design software': 1, 'Operating system software': 1, 'Data base reporting software': 1, 'Industrial control software': 1, 'Data base management system software': 1}",12.952941176470588,11-3013,Facilities Managers,11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3010,Administrative Services and Facilities Managers
11-3013.01,33,13,3,25,0.3939393939393939,0.0909090909090909,0.7272727272727273,"{'Facilities management software': 3, 'Data base user interface and query software': 2, 'Office suite software': 2, 'Communications server software': 1, 'Web page creation and editing software': 1, 'Project management software': 3, 'Network security and virtual private network VPN equipment software': 1, 'Graphics or photo imaging software': 1, 'Human resources software': 1, 'Inventory management software': 1, 'Map creation software': 1, 'Transaction security and virus protection software': 2, 'Development environment software': 1, 'Spreadsheet software': 1, 'Electronic mail software': 1, 'Presentation software': 1, 'Process mapping and design software': 1, 'Word processing software': 1, 'Operating system software': 1, 'Enterprise resource planning ERP software': 2, 'Time accounting software': 1, 'Cloud-based data access and sharing software': 1, 'Instant messaging software': 1, 'Internet browser software': 1, 'Calendar and scheduling software': 1}",9.128698752228164,11-3013,,,,,,,
11-3021.00,177,62,7,57,0.3502824858757062,0.03954802259887,1.5310734463276836,"{'Customer relationship management CRM software': 7, 'Desktop publishing software': 1, 'Web platform development software': 16, 'Object or component oriented development software': 11, 'Data base management system software': 11, 'Data base user interface and query software': 9, 'Portal server software': 2, 'Development environment software': 13, 'Video creation and editing software': 2, 'Presentation software': 2, 'Spreadsheet software': 2, 'Word processing software': 2, 'Operating system software': 9, 'Content workflow software': 1, 'Accounting software': 2, 'Software defined networking/ virtualization software': 1, 'Access software': 2, 'Office suite software': 2, 'Transaction server software': 1, 'Network monitoring software': 2, 'Enterprise application integration software': 4, 'Filesystem software': 4, 'Network security and virtual private network VPN equipment software': 2, 'Data mining software': 1, 'Helpdesk or call center software': 1, 'Human resources software': 1, 'Business intelligence and data analysis software': 5, 'Communications server software': 1, 'Platform interconnectivity software': 1, 'Enterprise system management software': 1, 'Analytical or scientific software': 4, 'Cloud-based management software': 2, 'Enterprise resource planning ERP software': 14, 'LAN software': 1, 'Transaction security and virus protection software': 2, 'Application server software': 5, 'Calendar and scheduling software': 1, 'Electronic mail software': 4, 'Web page creation and editing software': 1, 'Internet browser software': 2, 'Network conferencing software': 1, 'Project management software': 2, 'Cloud-based data access and sharing software': 2, 'Process mapping and design software': 1, 'Object oriented data base management software': 2, 'Wireless software': 1, 'Financial analysis software': 1, 'Configuration management software': 2, 'Compliance software': 1, 'Metadata management software': 1, 'Data base reporting software': 1, 'Cloud-based protection or security software': 1, 'Network connectivity terminal emulation software': 2, 'Graphical user interface development software': 1, 'Requirements analysis and system architecture software': 1, 'Backup or archival software': 1, 'Clustering software': 1}",19.48760385510136,11-3021,Computer and Information Systems Managers,11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3020,Computer and Information Systems Managers
11-3031.00,67,31,5,28,0.4626865671641791,0.0746268656716417,1.1791044776119404,"{'Accounting software': 6, 'Document management software': 1, 'Human resources software': 3, 'Business intelligence and data analysis software': 6, 'Financial analysis software': 4, 'Customer relationship management CRM software': 2, 'Data base user interface and query software': 7, 'Medical software': 1, 'Electronic mail software': 3, 'Enterprise system management software': 1, 'Analytical or scientific software': 2, 'Internet browser software': 1, 'Information retrieval or search software': 1, 'Sales and marketing software': 1, 'Enterprise resource planning ERP software': 11, 'Spreadsheet software': 2, 'Office suite software': 1, 'Presentation software': 1, 'Project management software': 2, 'Cloud-based data access and sharing software': 1, 'Process mapping and design software': 1, 'Development environment software': 2, 'Operating system software': 1, 'Word processing software': 2, 'Object or component oriented development software': 1, 'Data base reporting software': 1, 'Compliance software': 1, 'Data base management system software': 1}",13.675329236172082,11-3031,Financial Managers,11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3030,Financial Managers
11-3031.01,51,15,7,16,0.2941176470588235,0.1372549019607843,1.3529411764705883,"{'Accounting software': 10, 'Enterprise resource planning ERP software': 17, 'Human resources software': 2, 'Customer relationship management CRM software': 1, 'Spreadsheet software': 3, 'Data base user interface and query software': 4, 'Web platform development software': 1, 'Business intelligence and data analysis software': 2, 'Financial analysis software': 3, 'Network conferencing software': 1, 'Office suite software': 1, 'Electronic mail software': 1, 'Presentation software': 1, 'Project management software': 2, 'Word processing software': 1, 'Data base reporting software': 1}",12.105882352941176,11-3031,,,,,,,
11-3031.03,24,13,3,17,0.5416666666666666,0.125,1.25,"{'Computer aided design CAD software': 1, 'Accounting software': 1, 'Data base user interface and query software': 2, 'Spreadsheet software': 1, 'Map creation software': 1, 'Office suite software': 1, 'Electronic mail software': 1, 'Business intelligence and data analysis software': 2, 'Presentation software': 1, 'Project management software': 1, 'Process mapping and design software': 1, 'Word processing software': 1, 'Enterprise resource planning ERP software': 2, 'Financial analysis software': 3, 'Document management software': 1, 'Analytical or scientific software': 3, 'Internet browser software': 1}",12.796078431372548,11-3031,,,,,,,
11-3051.00,59,14,4,25,0.2372881355932203,0.0677966101694915,1.152542372881356,"{'Facilities management software': 3, 'Document management software': 2, 'Video creation and editing software': 3, 'Desktop publishing software': 1, 'Graphics or photo imaging software': 2, 'Computer aided design CAD software': 3, 'Industrial control software': 10, 'Human resources software': 3, 'Calendar and scheduling software': 3, 'Inventory management software': 1, 'Data base user interface and query software': 4, 'Desktop communications software': 1, 'Electronic mail software': 3, 'Financial analysis software': 1, 'Development environment software': 1, 'Accounting software': 1, 'Analytical or scientific software': 3, 'Spreadsheet software': 1, 'Office suite software': 1, 'Presentation software': 1, 'Project management software': 1, 'Word processing software': 1, 'Enterprise resource planning ERP software': 7, 'Business intelligence and data analysis software': 1, 'Internet browser software': 1}",10.912063808574276,11-3051,Industrial Production Managers,11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3050,Industrial Production Managers
11-3051.01,51,17,4,21,0.3333333333333333,0.0784313725490196,1.392156862745098,"{'Analytical or scientific software': 14, 'Document management software': 1, 'Industrial control software': 12, 'Content workflow software': 1, 'Data base user interface and query software': 5, 'Desktop communications software': 1, 'Compliance software': 2, 'Enterprise application integration software': 1, 'Program testing software': 2, 'Operating system software': 1, 'Risk management data and analysis software': 1, 'Spreadsheet software': 1, 'Office suite software': 1, 'Electronic mail software': 1, 'Presentation software': 1, 'Project management software': 1, 'Process mapping and design software': 1, 'Word processing software': 1, 'Object or component oriented development software': 1, 'Enterprise resource planning ERP software': 1, 'Internet browser software': 1}",12.694117647058825,11-3051,,,,,,,
11-3051.02,8,5,0,6,0.625,0.0,1.25,"{'Data base user interface and query software': 3, 'Spreadsheet software': 1, 'Office suite software': 1, 'Electronic mail software': 1, 'Word processing software': 1, 'Calendar and scheduling software': 1}",12.876470588235296,11-3051,,,,,,,
11-3051.03,13,7,0,12,0.5384615384615384,0.0,0.8461538461538461,"{'Document management software': 1, 'Computer aided design CAD software': 1, 'Facilities management software': 1, 'Industrial control software': 2, 'Calendar and scheduling software': 1, 'Inventory management software': 1, 'Spreadsheet software': 1, 'Office suite software': 1, 'Electronic mail software': 1, 'Presentation software': 1, 'Word processing software': 1, 'Internet browser software': 1}",10.227149321266968,11-3051,,,,,,,
11-3051.04,10,5,0,10,0.5,0.0,0.8,"{'Computer aided design CAD software': 1, 'Facilities management software': 1, 'Industrial control software': 1, 'Calendar and scheduling software': 1, 'Inventory management software': 1, 'Spreadsheet software': 1, 'Office suite software': 1, 'Electronic mail software': 1, 'Presentation software': 1, 'Word processing software': 1}",9.470588235294118,11-3051,,,,,,,
11-3051.06,21,11,0,16,0.5238095238095238,0.0,1.380952380952381,"{'Development environment software': 1, 'Facilities management software': 1, 'Industrial control software': 2, 'Electronic mail software': 1, 'Enterprise resource planning ERP software': 2, 'Data base user interface and query software': 3, 'Web platform development software': 1, 'Spreadsheet software': 1, 'Office suite software': 1, 'Operating system software': 1, 'Presentation software': 1, 'Project management software': 1, 'Data base management system software': 1, 'Word processing software': 2, 'Calendar and scheduling software': 1, 'Clustering software': 1}",13.13109243697479,11-3051,,,,,,,
11-3061.00,37,13,6,19,0.3513513513513513,0.1621621621621621,1.135135135135135,"{'Procurement software': 5, 'Enterprise resource planning ERP software': 9, 'Data base user interface and query software': 4, 'Electronic mail software': 2, 'Materials requirements planning logistics and supply chain software': 2, 'Inventory management software': 1, 'Spreadsheet software': 1, 'Office suite software': 1, 'Presentation software': 1, 'Project management software': 2, 'Cloud-based data access and sharing software': 1, 'Process mapping and design software': 1, 'Word processing software': 1, 'Financial analysis software': 1, 'Point of sale POS software': 1, 'Business intelligence and data analysis software': 1, 'Data base reporting software': 1, 'Calendar and scheduling software': 1, 'Internet browser software': 1}",10.930365659777424,11-3061,Purchasing Managers,11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3060,Purchasing Managers
11-3071.00,108,15,5,29,0.1388888888888889,0.0462962962962962,0.8796296296296297,"{'Materials requirements planning logistics and supply chain software': 34, 'Label making software': 1, 'Data base user interface and query software': 7, 'Inventory management software': 9, 'Route navigation software': 5, 'Accounting software': 2, 'Computer aided design CAD software': 2, 'Analytical or scientific software': 9, 'Electronic mail software': 4, 'Enterprise resource planning ERP software': 11, 'Geographic information system': 1, 'Graphics or photo imaging software': 1, 'Operating system software': 1, 'Enterprise system management software': 1, 'Spreadsheet software': 2, 'Office suite software': 1, 'Presentation software': 2, 'Project management software': 2, 'Process mapping and design software': 1, 'Word processing software': 2, 'Business intelligence and data analysis software': 1, 'Financial analysis software': 1, 'Metadata management software': 1, 'Data base reporting software': 1, 'Compliance software': 2, 'Calendar and scheduling software': 1, 'Mobile location based services software': 1, 'Backup or archival software': 1, 'Time accounting software': 1}",10.869389978213508,11-3071,"Transportation, Storage, and Distribution Managers",11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3070,"Transportation, Storage, and Distribution Managers"
11-3071.04,59,15,6,20,0.2542372881355932,0.1016949152542373,0.8305084745762712,"{'Materials requirements planning logistics and supply chain software': 27, 'Object or component oriented development software': 1, 'Graphics or photo imaging software': 1, 'Inventory management software': 3, 'Calendar and scheduling software': 1, 'Medical software': 1, 'Data base user interface and query software': 3, 'Enterprise resource planning ERP software': 8, 'Spreadsheet software': 1, 'Office suite software': 1, 'Electronic mail software': 1, 'Presentation software': 1, 'Project management software': 1, 'Cloud-based data access and sharing software': 1, 'Process mapping and design software': 1, 'Word processing software': 1, 'Analytical or scientific software': 3, 'Financial analysis software': 1, 'Procurement software': 1, 'Data base reporting software': 1}",9.471385842472582,11-3071,,,,,,,
11-3111.00,86,17,4,21,0.1976744186046511,0.0465116279069767,0.7209302325581395,"{'Human resources software': 45, 'Web page creation and editing software': 2, 'Graphics or photo imaging software': 2, 'Desktop publishing software': 2, 'Data base reporting software': 1, 'Video creation and editing software': 1, 'Document management software': 2, 'Enterprise resource planning ERP software': 9, 'Analytical or scientific software': 2, 'Accounting software': 2, 'Medical software': 2, 'Project management software': 2, 'Electronic mail software': 2, 'Data base user interface and query software': 5, 'Spreadsheet software': 1, 'Office suite software': 1, 'Presentation software': 1, 'Cloud-based data access and sharing software': 1, 'Process mapping and design software': 1, 'Word processing software': 1, 'Internet browser software': 1}",9.628454172366622,11-3111,Compensation and Benefits Managers,11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3110,Compensation and Benefits Managers
11-3121.00,102,16,5,25,0.1568627450980392,0.0490196078431372,0.5686274509803921,"{'Charting software': 1, 'Accounting software': 4, 'Human resources software': 42, 'Time accounting software': 13, 'Document management software': 4, 'Data base user interface and query software': 2, 'Office suite software': 2, 'Enterprise resource planning ERP software': 10, 'Web page creation and editing software': 3, 'Business intelligence and data analysis software': 2, 'Spreadsheet software': 2, 'Electronic mail software': 2, 'Analytical or scientific software': 1, 'Presentation software': 2, 'Project management software': 1, 'Desktop publishing software': 1, 'Process mapping and design software': 1, 'Word processing software': 2, 'Multi-media educational software': 1, 'Financial analysis software': 1, 'Data base reporting software': 1, 'Compliance software': 1, 'Computer based training software': 1, 'Internet browser software': 1, 'Video creation and editing software': 1}",9.211764705882352,11-3121,Human Resources Managers,11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3120,Human Resources Managers
11-3131.00,96,16,5,20,0.1666666666666666,0.0520833333333333,0.46875,"{'Document management software': 2, 'Development environment software': 2, 'Computer based training software': 61, 'Web page creation and editing software': 5, 'Graphics or photo imaging software': 2, 'Data base management system software': 1, 'Customer relationship management CRM software': 1, 'Data base user interface and query software': 1, 'Presentation software': 7, 'Video conferencing software': 2, 'Medical software': 1, 'Web platform development software': 1, 'Enterprise resource planning ERP software': 3, 'Spreadsheet software': 1, 'Office suite software': 1, 'Electronic mail software': 1, 'Project management software': 1, 'Desktop publishing software': 1, 'Word processing software': 1, 'Internet browser software': 1}",8.528063725490197,11-3131,Training and Development Managers,11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3130,Training and Development Managers
11-9013.00,77,11,4,21,0.1428571428571428,0.0519480519480519,1.4545454545454546,"{'Enterprise resource planning ERP software': 16, 'Graphics or photo imaging software': 1, 'Data base user interface and query software': 21, 'Industrial control software': 2, 'Accounting software': 6, 'Project management software': 1, 'Cloud-based data access and sharing software': 1, 'Map creation software': 5, 'Time accounting software': 3, 'Geographic information system': 5, 'Electronic mail software': 2, 'Web page creation and editing software': 1, 'Mobile location based services software': 1, 'Analytical or scientific software': 4, 'Spreadsheet software': 1, 'Office suite software': 1, 'Presentation software': 1, 'Process mapping and design software': 1, 'Word processing software': 2, 'Calendar and scheduling software': 1, 'Internet browser software': 1}",12.324828113063408,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",11-0000,Management Occupations,11-9000,Other Management Occupations,11-9010,"Farmers, Ranchers, and Other Agricultural Managers"
11-9021.00,64,21,6,24,0.328125,0.09375,1.28125,"{'Word processing software': 3, 'Document management software': 4, 'Graphics or photo imaging software': 3, 'Calendar and scheduling software': 2, 'Analytical or scientific software': 3, 'Computer aided design CAD software': 5, 'Data base user interface and query software': 12, 'Project management software': 8, 'Compliance software': 1, 'Cloud-based data access and sharing software': 3, 'Electronic mail software': 2, 'Web page creation and editing software': 2, 'Internet browser software': 2, 'Video creation and editing software': 1, 'Enterprise resource planning ERP software': 3, 'Spreadsheet software': 1, 'Office suite software': 1, 'Presentation software': 2, 'Process mapping and design software': 1, 'Inventory management software': 1, 'Human resources software': 1, 'Time accounting software': 1, 'Accounting software': 1, 'Industrial control software': 1}",12.699264705882351,11-9021,Construction Managers,11-0000,Management Occupations,11-9000,Other Management Occupations,11-9020,Construction Managers
11-9031.00,34,6,1,12,0.1764705882352941,0.0294117647058823,2.0588235294117645,"{'Enterprise resource planning ERP software': 20, 'Data base user interface and query software': 1, 'Desktop communications software': 3, 'Instant messaging software': 1, 'Accounting software': 2, 'Spreadsheet software': 1, 'Office suite software': 1, 'Electronic mail software': 1, 'Presentation software': 1, 'Desktop publishing software': 1, 'Word processing software': 1, 'Internet browser software': 1}",13.658823529411762,11-9031,"Education and Childcare Administrators, Preschool and Daycare",11-0000,Management Occupations,11-9000,Other Management Occupations,11-9030,Education and Childcare Administrators
11-9032.00,56,11,3,20,0.1964285714285714,0.0535714285714285,1.7678571428571428,"{'Enterprise resource planning ERP software': 18, 'Data base management system software': 1, 'Data base user interface and query software': 6, 'Desktop communications software': 2, 'Computer based training software': 4, 'Analytical or scientific software': 7, 'Calendar and scheduling software': 2, 'Project management software': 1, 'Cloud-based data access and sharing software': 2, 'Electronic mail software': 2, 'Human resources software': 1, 'Communications server software': 1, 'Mobile messaging service software': 1, 'Spreadsheet software': 1, 'Office suite software': 1, 'Presentation software': 1, 'Desktop publishing software': 1, 'Word processing software': 1, 'Multi-media educational software': 2, 'Internet browser software': 1}",13.438865546218487,11-9032,"Education Administrators, Kindergarten through Secondary",11-0000,Management Occupations,11-9000,Other Management Occupations,11-9030,Education and Childcare Administrators
