SOC Code,detailed_title,major_code,major_title,minor_code,minor_title,broad_code,broad_title,normalized_SOC_Code,normalized_major_code,normalized_minor_code,normalized_broad_code
13-2011,Accountants and Auditors,13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2010,Accountants and Auditors,132011,13,132,1320
13-2022,Appraisers of Personal and Business Property,13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2020,Property Appraisers and Assessors,132022,13,132,1320
13-2023,Appraisers and Assessors of Real Estate,13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2020,Property Appraisers and Assessors,132023,13,132,1320
13-2031,Budget Analysts,13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2030,Budget Analysts,132031,13,132,1320
13-2041,Credit Analysts,13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2040,Credit Analysts,132041,13,132,1320
13-2051,Financial and Investment Analysts,13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2050,Financial Analysts and Advisors,132051,13,132,1320
13-2052,Personal Financial Advisors,13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2050,Financial Analysts and Advisors,132052,13,132,1320
13-2053,Insurance Underwriters,13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2050,Financial Analysts and Advisors,132053,13,132,1320
13-2054,Financial Risk Specialists,13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2050,Financial Analysts and Advisors,132054,13,132,1320
13-2061,Financial Examiners,13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2060,Financial Examiners,132061,13,132,1320
13-2071,Credit Counselors,13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2070,Credit Counselors and Loan Officers,132071,13,132,1320
13-2072,Loan Officers,13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2070,Credit Counselors and Loan Officers,132072,13,132,1320
13-2081,"Tax Examiners and Collectors, and Revenue Agents",13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",132081,13,132,1320
13-2082,Tax Preparers,13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",132082,13,132,1320
13-2099,"Financial Specialists, All Other",13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2090,Miscellaneous Financial Specialists,132099,13,132,1320
15-1211,Computer Systems Analysts,15-0000,Computer and Mathematical Occupations,15-1000,Computer and Information Analyst,15-1210,Computer and Information Analysts,151211,15,151,1512
15-1212,Information Security Analysts,15-0000,Computer and Mathematical Occupations,15-1000,Computer and Information Analyst,15-1210,Computer and Information Analysts,151212,15,151,1512
15-1221,Computer and Information Research Scientists,15-0000,Computer and Mathematical Occupations,15-1000,Computer and Information Analyst,15-1220,Computer and Information Research Scientists,151221,15,151,1512
15-1231,Computer Network Support Specialists,15-0000,Computer and Mathematical Occupations,15-1000,Computer and Information Analyst,15-1230,Computer Support Specialists,151231,15,151,1512
15-1232,Computer User Support Specialists,15-0000,Computer and Mathematical Occupations,15-1000,Computer and Information Analyst,15-1230,Computer Support Specialists,151232,15,151,1512
15-1241,Computer Network Architects,15-0000,Computer and Mathematical Occupations,15-1000,Computer and Information Analyst,15-1240,Database and Network Administrators and Architects,151241,15,151,1512
15-1242,Database Administrators,15-0000,Computer and Mathematical Occupations,15-1000,Computer and Information Analyst,15-1240,Database and Network Administrators and Architects,151242,15,151,1512
15-1243,Database Architects,15-0000,Computer and Mathematical Occupations,15-1000,Computer and Information Analyst,15-1240,Database and Network Administrators and Architects,151243,15,151,1512
15-1244,Network and Computer Systems Administrators,15-0000,Computer and Mathematical Occupations,15-1000,Computer and Information Analyst,15-1240,Database and Network Administrators and Architects,151244,15,151,1512
15-1251,Computer Programmers,15-0000,Computer and Mathematical Occupations,15-1000,Computer and Information Analyst,15-1250,"Software and Web Developers, Programmers, and Testers",151251,15,151,1512
15-1252,Software Developers,15-0000,Computer and Mathematical Occupations,15-1000,Computer and Information Analyst,15-1250,"Software and Web Developers, Programmers, and Testers",151252,15,151,1512
15-1253,Software Quality Assurance Analysts and Testers,15-0000,Computer and Mathematical Occupations,15-1000,Computer and Information Analyst,15-1250,"Software and Web Developers, Programmers, and Testers",151253,15,151,1512
15-1254,Web Developers,15-0000,Computer and Mathematical Occupations,15-1000,Computer and Information Analyst,15-1250,"Software and Web Developers, Programmers, and Testers",151254,15,151,1512
15-1255,Web and Digital Interface Designers,15-0000,Computer and Mathematical Occupations,15-1000,Computer and Information Analyst,15-1250,"Software and Web Developers, Programmers, and Testers",151255,15,151,1512
15-1299,"Computer Occupations, All Other",15-0000,Computer and Mathematical Occupations,15-1000,Computer and Information Analyst,15-1290,Miscellaneous Computer Occupations,151299,15,151,1512
15-2011,Actuaries,15-0000,Computer and Mathematical Occupations,15-2000,Mathematical Science Occupations,15-2010,Actuaries,152011,15,152,1520
15-2021,Mathematicians,15-0000,Computer and Mathematical Occupations,15-2000,Mathematical Science Occupations,15-2020,Mathematicians,152021,15,152,1520
15-2031,Operations Research Analysts,15-0000,Computer and Mathematical Occupations,15-2000,Mathematical Science Occupations,15-2030,Operations Research Analysts,152031,15,152,1520
15-2041,Statisticians,15-0000,Computer and Mathematical Occupations,15-2000,Mathematical Science Occupations,15-2040,Statisticians,152041,15,152,1520
15-2051,Data Scientists,15-0000,Computer and Mathematical Occupations,15-2000,Mathematical Science Occupations,15-2050,Data Scientists,152051,15,152,1520
15-2099,"Mathematical Science Occupations, All Other",15-0000,Computer and Mathematical Occupations,15-2000,Mathematical Science Occupations,15-2090,Miscellaneous Mathematical Science Occupations,152099,15,152,1520
17-1011,"Architects, Except Landscape and Naval",17-0000,Architecture and Engineering Occupations,17-1000,"Architects, Surveyors, and Cartographers",17-1010,"Architects, Except Naval",171011,17,171,1710
17-1012,Landscape Architects,17-0000,Architecture and Engineering Occupations,17-1000,"Architects, Surveyors, and Cartographers",17-1010,"Architects, Except Naval",171012,17,171,1710
17-1021,Cartographers and Photogrammetrists,17-0000,Architecture and Engineering Occupations,17-1000,"Architects, Surveyors, and Cartographers",17-1020,"Surveyors, Cartographers, and Photogrammetrists",171021,17,171,1710
17-1022,Surveyors,17-0000,Architecture and Engineering Occupations,17-1000,"Architects, Surveyors, and Cartographers",17-1020,"Surveyors, Cartographers, and Photogrammetrists",171022,17,171,1710
17-2011,Aerospace Engineers,17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2010,Aerospace Engineers,172011,17,172,1720
17-2021,Agricultural Engineers,17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2020,Agricultural Engineers,172021,17,172,1720
17-2031,Bioengineers and Biomedical Engineers,17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2030,Bioengineers and Biomedical Engineers,172031,17,172,1720
17-2041,Chemical Engineers,17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2040,Chemical Engineers,172041,17,172,1720
17-2051,Civil Engineers,17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2050,Civil Engineers,172051,17,172,1720
17-2061,Computer Hardware Engineers,17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2060,Computer Hardware Engineers,172061,17,172,1720
17-2071,Electrical Engineers,17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2070,Electrical and Electronics Engineers,172071,17,172,1720
17-2072,"Electronics Engineers, Except Computer",17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2070,Electrical and Electronics Engineers,172072,17,172,1720
17-2081,Environmental Engineers,17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2080,Environmental Engineers,172081,17,172,1720
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2110,"Industrial Engineers, Including Health and Safety",172111,17,172,1721
17-2112,Industrial Engineers,17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2110,"Industrial Engineers, Including Health and Safety",172112,17,172,1721
17-2121,Marine Engineers and Naval Architects,17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2120,Marine Engineers and Naval Architects,172121,17,172,1721
17-2131,Materials Engineers,17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2130,Materials Engineers,172131,17,172,1721
17-2141,Mechanical Engineers,17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2140,Mechanical Engineers,172141,17,172,1721
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2150,"Mining and Geological Engineers, Including Mining Safety Engineers",172151,17,172,1721
17-2161,Nuclear Engineers,17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2160,Nuclear Engineers,172161,17,172,1721
17-2171,Petroleum Engineers,17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2170,Petroleum Engineers,172171,17,172,1721
17-2199,"Engineers, All Other",17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2190,Miscellaneous Engineers,172199,17,172,1721
17-3011,Architectural and Civil Drafters,17-0000,Architecture and Engineering Occupations,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",17-3010,Drafters,173011,17,173,1730
17-3012,Electrical and Electronics Drafters,17-0000,Architecture and Engineering Occupations,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",17-3010,Drafters,173012,17,173,1730
17-3013,Mechanical Drafters,17-0000,Architecture and Engineering Occupations,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",17-3010,Drafters,173013,17,173,1730
17-3019,"Drafters, All Other",17-0000,Architecture and Engineering Occupations,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",17-3010,Drafters,173019,17,173,1730
17-3021,Aerospace Engineering and Operations Technologists and Technicians,17-0000,Architecture and Engineering Occupations,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",17-3020,"Engineering Technologists and Technicians, Except Drafters",173021,17,173,1730
17-3022,Civil Engineering Technologists and Technicians,17-0000,Architecture and Engineering Occupations,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",17-3020,"Engineering Technologists and Technicians, Except Drafters",173022,17,173,1730
17-3023,Electrical and Electronic Engineering Technologists and Technicians,17-0000,Architecture and Engineering Occupations,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",17-3020,"Engineering Technologists and Technicians, Except Drafters",173023,17,173,1730
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,17-0000,Architecture and Engineering Occupations,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",17-3020,"Engineering Technologists and Technicians, Except Drafters",173024,17,173,1730
17-3025,Environmental Engineering Technologists and Technicians,17-0000,Architecture and Engineering Occupations,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",17-3020,"Engineering Technologists and Technicians, Except Drafters",173025,17,173,1730
17-3026,Industrial Engineering Technologists and Technicians,17-0000,Architecture and Engineering Occupations,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",17-3020,"Engineering Technologists and Technicians, Except Drafters",173026,17,173,1730
17-3027,Mechanical Engineering Technologists and Technicians,17-0000,Architecture and Engineering Occupations,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",17-3020,"Engineering Technologists and Technicians, Except Drafters",173027,17,173,1730
17-3028,Calibration Technologists and Technicians,17-0000,Architecture and Engineering Occupations,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",17-3020,"Engineering Technologists and Technicians, Except Drafters",173028,17,173,1730
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",17-0000,Architecture and Engineering Occupations,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",17-3020,"Engineering Technologists and Technicians, Except Drafters",173029,17,173,1730
17-3031,Surveying and Mapping Technicians,17-0000,Architecture and Engineering Occupations,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",17-3030,Surveying and Mapping Technicians,173031,17,173,1730
19-1011,Animal Scientists,19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1010,Agricultural and Food Scientists,191011,19,191,1910
19-1012,Food Scientists and Technologists,19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1010,Agricultural and Food Scientists,191012,19,191,1910
19-1013,Soil and Plant Scientists,19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1010,Agricultural and Food Scientists,191013,19,191,1910
19-1021,Biochemists and Biophysicists,19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1020,Biological Scientists,191021,19,191,1910
19-1022,Microbiologists,19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1020,Biological Scientists,191022,19,191,1910
19-1023,Zoologists and Wildlife Biologists,19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1020,Biological Scientists,191023,19,191,1910
19-1029,"Biological Scientists, All Other",19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1020,Biological Scientists,191029,19,191,1910
19-1031,Conservation Scientists,19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1030,Conservation Scientists and Foresters,191031,19,191,1910
19-1032,Foresters,19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1030,Conservation Scientists and Foresters,191032,19,191,1910
19-1041,Epidemiologists,19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1040,Medical Scientists,191041,19,191,1910
19-1042,"Medical Scientists, Except Epidemiologists",19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1040,Medical Scientists,191042,19,191,1910
19-1099,"Life Scientists, All Other",19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1090,Miscellaneous Life Scientists,191099,19,191,1910
19-2011,Astronomers,19-0000,"Life, Physical, and Social Science Occupations",19-2000,Physical Scientists,19-2010,Astronomers and Physicists,192011,19,192,1920
19-2012,Physicists,19-0000,"Life, Physical, and Social Science Occupations",19-2000,Physical Scientists,19-2010,Astronomers and Physicists,192012,19,192,1920
19-2021,Atmospheric and Space Scientists,19-0000,"Life, Physical, and Social Science Occupations",19-2000,Physical Scientists,19-2020,Atmospheric and Space Scientists,192021,19,192,1920
19-2031,Chemists,19-0000,"Life, Physical, and Social Science Occupations",19-2000,Physical Scientists,19-2030,Chemists and Materials Scientists,192031,19,192,1920
19-2032,Materials Scientists,19-0000,"Life, Physical, and Social Science Occupations",19-2000,Physical Scientists,19-2030,Chemists and Materials Scientists,192032,19,192,1920
19-2041,"Environmental Scientists and Specialists, Including Health",19-0000,"Life, Physical, and Social Science Occupations",19-2000,Physical Scientists,19-2040,Environmental Scientists and Geoscientists,192041,19,192,1920
19-2042,"Geoscientists, Except Hydrologists and Geographers",19-0000,"Life, Physical, and Social Science Occupations",19-2000,Physical Scientists,19-2040,Environmental Scientists and Geoscientists,192042,19,192,1920
19-2043,Hydrologists,19-0000,"Life, Physical, and Social Science Occupations",19-2000,Physical Scientists,19-2040,Environmental Scientists and Geoscientists,192043,19,192,1920
19-2099,"Physical Scientists, All Other",19-0000,"Life, Physical, and Social Science Occupations",19-2000,Physical Scientists,19-2090,Miscellaneous Physical Scientists,192099,19,192,1920
19-3011,Economists,19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3010,Economists,193011,19,193,1930
19-3022,Survey Researchers,19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3020,Survey Researchers,193022,19,193,1930
19-3032,Industrial-Organizational Psychologists,19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3030,Psychologists,193032,19,193,1930
19-3033,Clinical and Counseling Psychologists,19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3030,Psychologists,193033,19,193,1930
19-3034,School Psychologists,19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3030,Psychologists,193034,19,193,1930
19-3039,"Psychologists, All Other",19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3030,Psychologists,193039,19,193,1930
19-3041,Sociologists,19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3040,Sociologists,193041,19,193,1930
19-3051,Urban and Regional Planners,19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3050,Urban and Regional Planners,193051,19,193,1930
19-3091,Anthropologists and Archeologists,19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3090,Miscellaneous Social Scientists and Related Workers,193091,19,193,1930
19-3092,Geographers,19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3090,Miscellaneous Social Scientists and Related Workers,193092,19,193,1930
19-3093,Historians,19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3090,Miscellaneous Social Scientists and Related Workers,193093,19,193,1930
19-3094,Political Scientists,19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3090,Miscellaneous Social Scientists and Related Workers,193094,19,193,1930
19-3099,"Social Scientists and Related Workers, All Other",19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3090,Miscellaneous Social Scientists and Related Workers,193099,19,193,1930
19-4012,Agricultural Technicians,19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4010,Agricultural and Food Science Technicians,194012,19,194,1940
19-4013,Food Science Technicians,19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4010,Agricultural and Food Science Technicians,194013,19,194,1940
19-4021,Biological Technicians,19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4020,Biological Technicians,194021,19,194,1940
19-4031,Chemical Technicians,19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4030,Chemical Technicians,194031,19,194,1940
19-4042,"Environmental Science and Protection Technicians, Including Health",19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4040,Environmental Science and Geoscience Technicians,194042,19,194,1940
19-4043,"Geological Technicians, Except Hydrologic Technicians",19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4040,Environmental Science and Geoscience Technicians,194043,19,194,1940
19-4044,Hydrologic Technicians,19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4040,Environmental Science and Geoscience Technicians,194044,19,194,1940
